metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	10	+10.000000
work_us_mean	nan	1374.2455	+nan
work_us_median	nan	1347.3915000000002	+nan
work_us_max	nan	2698.873	+nan
work_total_ms	nan	13.742455	+nan
bench_sec	0.788	0.757	-0.031000
override_peak	16286	15996	-290.000000
