run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	61685.630000	1769909	34852.430	2.285000
2	64788.180000	1607692	40298.876	2.658000
3	74043.290000	2261482	32741.048	3.249000
4	63179.600000	2079409	30383.441	2.596000
5	60983.440000	2221377	27452.990	2.760000
6	61685.990000	2468094	24993.371	2.687000
7	62619.810000	1759296	35593.675	2.574000
8	63332.900000	1776059	35659.232	2.454000
9	62664.790000	1747850	35852.499	2.408000
10	63241.540000	1226298	51571.103	2.332000
11	63002.400000	1834591	34341.387	2.472000
12	64753.130000	1706943	37935.145	2.631000
13	63312.320000	1584329	39961.599	2.451000
14	61618.690000	1572148	39193.950	2.262000
15	66186.010000	1512776	43751.362	2.729000
16	64327.450000	1564661	41112.707	2.608000
17	64621.510000	1593749	40546.855	2.957000
18	62957.240000	1644612	38280.908	2.577000
19	63451.220000	2238860	28340.861	2.539000
20	60711.050000	1218493	49824.701	2.341000
