t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3461.327120	0	0	0
3461.527236	1173	1229979648	4044175665
3461.727236	2354	2468347904	8249344314
3461.927236	3139	3291480064	11219022459
3462.127236	4155	4356833280	16396177157
3462.327236	4837	5071962112	19765870585
3462.527236	4880	5117050880	21840670774
3462.727236	5854	6138363904	29462769088
3462.927236	6972	7310671872	33727226589
3463.127236	8108	8501854208	38132804912
3463.327236	9267	9717153792	42409151792
3463.527236	10476	10984882176	46551276666
3463.727236	11695	12263096320	50879890688
3463.927236	12861	13485735936	55267590697
3464.127236	14056	14738784256	59692715681
3464.327236	15109	15842934784	63832192615
3464.527236	15973	16748904448	68177414977
3464.727236	16903	17724080128	72361458941
3464.927236	17864	18731761664	76629434912
3465.127236	19011	19934478336	81014046754
3465.327236	20204	21185429504	85358065576
3465.527236	21125	22151168000	89505062501
3465.727236	22329	23413653504	93648320556
3465.927236	23051	24170725376	97959720917
3466.127236	24237	25414336512	102212751006
3466.327236	25376	26608664576	106480418127
3466.527236	26493	27779923968	110487235601
3466.727236	27396	28726788096	113702681864
3466.927236	28318	29693575168	119361719393
3467.127236	29503	30936137728	123628281036
3467.327236	30405	31881953280	128211896438
3467.527236	31295	32815185920	132454354434
3467.727236	32346	33917239296	136640502100
3467.927236	33549	35178676224	140619909080
3468.127236	34668	36352032768	144908540865
3468.327236	35873	37615566848	149103121111
3468.527236	36683	38464913408	152007818866
3468.727236	37478	39298531328	157772438365
3468.927236	38695	40574648320	161938619689
3469.127236	39774	41706061824	166268088096
3469.327236	40862	42846912512	170505176826
3469.527236	41951	43988811776	174506400238
3469.727236	42706	44780486656	178097042160
3469.927236	43789	45916094464	182597469448
3470.127236	44788	46963621888	186347695727
3470.327236	45246	47443869696	191426308944
3470.527236	46218	48463085568	195590486053
3470.727236	47323	49621762048	200025871705
3470.927236	48463	50817138688	204088456289
3471.127236	49584	51992592384	208302770304
3471.327236	50789	53256126464	212532523497
3471.527236	51686	54196699136	216176969396
3471.727236	52908	55478059008	221388646587
3471.927236	53600	56203673600	225734009413
3472.127236	53986	56608423936	229264495472
3472.327236	54936	57604571136	235024241539
3472.527236	55976	58695090176	239441997381
3472.727236	56368	59106131968	243346222961
3472.927236	57221	60000567296	247198197998
3473.127236	58032	60850962432	251633824380
3473.327236	59119	61990764544	255819802818
3473.527236	60144	63065554944	260078375879
3473.727236	61167	64138248192	264146413226
3473.927236	62138	65156415488	268818199624
3474.127236	63128	66194505728	273193470527
3474.327236	64266	67387785216	277533543429
3474.527236	65397	68573724672	281824767764
3474.727236	65802	68998397952	286402638478
3474.927236	66837	70083674112	290735628087
3475.127236	67624	70908903424	295607600472
3475.327236	68416	71739375616	300016484421
3475.527236	69022	72374812672	303831370549
3475.727236	70140	73547120640	308138820040
3475.927236	71357	74823237632	312343607979
3476.127236	72574	76099354624	316709275860
3476.327236	73531	77102841856	320555242881
3476.527236	73811	77396443136	323323462453
3476.727236	74848	78483816448	329123246097
3476.927236	75959	79648784384	333393482863
3477.127236	77027	80768663552	337528415081
3477.327236	78217	82016468992	341924452254
3477.527236	79253	83102793728	346303543189
3477.727236	80430	84336967680	350621777692
3477.927236	81299	85248180224	354604087080
3478.127236	82323	86321922048	358832701267
3478.327236	83354	87403003904	363025368869
3478.527236	84417	88517640192	367447488997
3478.727236	85610	89768591360	371690407765
3478.927236	86778	90993328128	375955590855
3479.127236	87950	92222259200	380118359668
3479.327236	89015	93338992640	384409661042
3479.527236	89992	94363451392	388337124391
3479.727236	90486	94881447936	392190737782
3479.927236	91541	95987695616	396373743191
3480.127236	91964	96431243264	400644063352
3480.327236	92719	97222918144	405305296619
3480.527236	93876	98436120576	409687374970
3480.727236	94977	99590602752	414030886319
3480.927236	96190	100862525440	418365930413
3481.127236	97399	102130253824	422563784920
3481.327236	98377	103155761152	426730104653
3481.527236	98919	103724089344	429644621939
3481.727236	99568	104404615168	434784956574
3481.927236	100479	105359867904	439157891304
3482.127236	101621	106557341696	443530307076
3482.327236	102768	107760058368	447798960938
3482.527236	103880	108926074880	452109285200
3482.727236	104942	110039662592	456591404127
3482.927236	106089	111242379264	460785725418
3483.127236	107233	112441950208	464936706048
3483.327236	107718	112950509568	469220325458
3483.527236	108834	114120720384	473491726273
3483.727236	110067	115413614592	477799897795
3483.927236	111024	116417101824	482074860588
3484.127236	111654	117077704704	485568631999
3484.327236	111831	117263302656	491222487379
3484.527236	112716	118191292416	495513003403
3484.727236	113801	119328997376	500247353625
3484.927236	114955	120539054080	504234946689
3485.127236	115684	121303465984	508776389054
3485.327236	116466	122123452416	513495061493
3485.527236	117322	123021033472	516955340506
3485.727236	118493	124248915968	521631279976
3485.927236	119639	125450584064	525906035738
3486.127236	120778	126644912128	530327431563
3486.327236	121823	127740674048	534147421670
3486.527236	122786	128750452736	538510069373
3486.727236	123866	129882914816	542893933664
3486.927236	125095	131171614720	547016370484
3487.127236	126281	132415225856	551211092967
3487.327236	127463	133654642688	555380029766
3487.527236	128558	134802833408	559589071247
3487.727236	129736	136038055936	563690746764
3487.927236	130766	137118089216	568085289510
3488.127236	131247	137622454272	571599515833
3488.327236	132317	138744430592	575860278317
3488.527236	133321	139797200896	580190816354
3488.727236	134517	141051297792	584460406849
3488.927236	135716	142308540416	588673947343
3489.127236	136899	143549005824	593021427027
3489.327236	138084	144791568384	597324766069
3489.527236	138760	145500405760	601317048310
3489.727236	139854	146647547904	605366629090
3489.927236	141016	147865993216	609611759932
3490.127236	142218	149126381568	613825215020
3490.327236	143423	150389915648	618142089669
3490.527236	144612	151636672512	622363929307
3490.727236	145755	152835194880	626550796366
3490.927236	146846	153979191296	630758499669
3491.127236	147932	155117944832	635042439674
3491.327236	149026	156265086976	639175593971
3491.527236	150103	157394403328	643500753273
3491.727236	151334	158685200384	647657594510
3491.927236	152533	159942443008	651846534029
3492.127236	153733	161200734208	656099895744
3492.327236	154723	162238824448	660366240698
3492.527236	155564	163120676864	664891989219
3492.727236	156602	164209098752	668993799938
3492.727318	156602	164209098752	668993799938
