metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	3	+3.000000
work_us_mean	nan	691.367	+nan
work_us_median	nan	786.55	+nan
work_us_max	nan	1285.521	+nan
work_total_ms	nan	2.074101	+nan
bench_sec	0.521	0.572	+0.051000
override_peak	8743	8575	-168.000000
