metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	45	+45.000000
work_us_mean	nan	6038.075711111112	+nan
work_us_median	nan	5959.936	+nan
work_us_max	nan	17578.79	+nan
work_total_ms	nan	271.713407	+nan
bench_sec	2.512	2.516	+0.004000
override_peak	71003	67071	-3932.000000
