t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3421.556569	0	0	0
3421.756681	1482	1553989632	3905365189
3421.956681	2445	2563768320	7374680557
3422.156681	3582	3755999232	12227480207
3422.356681	4798	5031067648	16574278907
3422.556681	5847	6131023872	20780466135
3422.756681	8271	8672772096	25004378816
3422.956681	10767	11290017792	29224998231
3423.156681	13283	13928235008	33550457648
3423.356681	15392	16139681792	37929403773
3423.556681	17787	18651021312	42396644313
3423.756681	19707	20664287232	46459946182
3423.956681	20927	21943549952	49706531078
3424.156681	22382	23469228032	54538360802
3424.356681	23276	24406654976	57849975058
3424.556681	24444	25631391744	62606301357
3424.756681	25596	26839351296	67049844843
3424.956681	26830	28133294080	71267165954
3425.156681	27776	29125246976	75813793901
3425.356681	29010	30419189760	80302445869
3425.556681	30016	31474057216	84542414091
3425.756681	30993	32498515968	88880920450
3425.956681	32049	33605812224	92949142666
3426.156681	32841	34436284416	97433661214
3426.356681	34043	35696672768	101756923237
3426.556681	35279	36992712704	105990458607
3426.756681	36138	37893439488	109342201808
3426.956681	37261	39070990336	114834911582
3427.156681	38236	40093351936	119219954038
3427.356681	39358	41269854208	123349984316
3427.556681	40250	42205184000	127826242746
3427.756681	41383	43393220608	132017421133
3427.956681	42582	44650463232	136467329792
3428.156681	43789	45916094464	140586799723
3428.356681	44912	47093645312	144771705712
3428.556681	45985	48218767360	148974392900
3428.756681	47237	49531584512	153332999628
3428.956681	48290	50635735040	157575221930
3429.156681	48719	51085574144	161620636471
3429.356681	49856	52277805056	165838914353
3429.556681	50412	52860813312	168833114305
3429.756681	51436	53934555136	173975341208
3429.956681	52587	55141466112	178246108118
3430.156681	53735	56345231360	182230026158
3430.356681	54776	57436798976	186603146107
3430.556681	55336	58024001536	190402747646
3430.756681	56441	59182678016	194839880940
3430.956681	57030	59800289280	199817301838
3431.156681	58143	60967354368	204234515522
3431.356681	59209	62085136384	208572636687
3431.556681	60401	63335038976	213056252867
3431.756681	61528	64516784128	217171023970
3431.956681	62676	65720549376	221484208067
3432.156681	63355	66432532480	226173469334
3432.356681	64485	67617423360	230289156401
3432.556681	65532	68715282432	234533418809
3432.756681	65717	68909268992	235344690495
3432.956681	66435	69662146560	242768808792
3433.156681	67416	70690799616	247040240031
3433.356681	68538	71867301888	251298025358
3433.556681	69297	72663171072	255447614259
3433.756681	69875	73269248000	260410225163
3433.956681	70987	74435264512	264709588695
3434.156681	72060	75560386560	269031317679
3434.356681	73119	76670828544	273453828215
3434.556681	74217	77822164992	277617410871
3434.756681	75202	78855012352	281676526952
3434.956681	76211	79913025536	286431051249
3435.156681	77269	81022418944	290681250198
3435.356681	78365	82171658240	295050688047
3435.556681	79290	83141591040	299194124654
3435.756681	80101	83991986176	303298866160
3435.956681	81290	85238743040	307278978655
3436.156681	82274	86270541824	311805953610
3436.356681	83452	87505764352	316201451723
3436.556681	84491	88595234816	320244685251
3436.756681	85671	89832554496	324585407216
3436.956681	86861	91080359936	328887269576
3437.156681	88024	92299853824	333103380117
3437.356681	89180	93512007680	337437079270
3437.556681	90296	94682218496	341718129030
3437.756681	91312	95747571712	346068901393
3437.956681	92496	96989085696	350255099417
3438.156681	93491	98032418816	354475335829
3438.356681	94659	99257155584	358679930635
3438.556681	95813	100467212288	362925179536
3438.756681	97015	101727600640	367094465051
3438.956681	98226	102997426176	371265542536
3439.156681	99378	104205385728	375416682067
3439.356681	99882	104733868032	379215800508
3439.556681	100373	105248718848	382938703853
3439.756681	101257	106175660032	389179712041
3439.956681	102453	107429756928	393399776949
3440.156681	103608	108640862208	397708042240
3440.356681	104730	109817364480	401871881321
3440.556681	105854	110995963904	405937496884
3440.756681	106970	112166174720	409998111709
3440.956681	107731	112964141056	414493654392
3441.156681	108714	113994891264	418700705224
3441.356681	109830	115165102080	422793409582
3441.556681	110567	115937902592	426809115393
3441.756681	111122	116519862272	430860062830
3441.956681	111389	116799832064	433945805842
3442.156681	111842	117274836992	437931630330
3442.356681	112452	117914468352	443561800662
3442.556681	113294	118797369344	447304423608
3442.756681	114072	119613161472	452115123025
3442.956681	115219	120815878144	456502380019
3443.156681	116281	121929465856	460944774221
3443.356681	117405	123108065280	465269847923
3443.556681	118612	124373696512	469488371512
3443.756681	119757	125574316032	473694137935
3443.956681	120854	126724603904	477880576740
3444.156681	121507	127409324032	481711876588
3444.356681	122700	128660275200	486165017737
3444.556681	123810	129824194560	490430789637
3444.756681	124913	130980773888	494787434803
3444.956681	126090	132214947840	499048435434
3445.156681	127054	133225775104	503142063598
3445.356681	127765	133971312640	506196048608
3445.556681	128423	134661275648	511876897432
3445.756681	129556	135849312256	516204111501
3445.956681	130576	136918859776	519998958443
3446.156681	131649	138043981824	524588608112
3446.356681	132582	139022303232	528876983170
3446.556681	133672	140165251072	533147067016
3446.756681	134732	141276741632	537683023486
3446.956681	135901	142502526976	541852464959
3447.156681	136840	143487139840	546506522522
3447.356681	137977	144679370752	550681774488
3447.556681	139148	145907253248	554903458442
3447.756681	140273	147086901248	559225197730
3447.956681	141422	148291715072	563523161937
