metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	21	+21.000000
work_us_mean	nan	3219.8949523809524	+nan
work_us_median	nan	3216.253	+nan
work_us_max	nan	6365.836	+nan
work_total_ms	nan	67.61779399999999	+nan
bench_sec	1.375	1.342	-0.033000
override_peak	34932	35592	+660.000000
