run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	72007.700000	1029883	69918.331	3.247000
2	71059.820000	957126	74242.911	3.255000
3	69108.660000	1131742	61063.970	2.905000
4	67077.840000	1020123	65754.659	2.580000
5	68825.680000	960095	71686.323	2.598000
6	69256.190000	948667	73003.688	2.786000
7	82691.880000	1082742	76372.654	3.313000
8	68059.510000	1248322	54520.797	2.657000
9	75783.310000	989384	76596.458	3.102000
10	69365.640000	976572	71029.724	2.888000
11	68395.460000	1164814	58717.924	2.707000
12	72568.870000	935726	77553.547	3.577000
13	68733.710000	918734	74813.504	2.725000
14	71039.340000	932547	76177.758	2.914000
15	67820.700000	917136	73948.357	2.589000
16	68602.200000	1041223	65886.174	2.624000
17	69399.510000	1118596	62041.622	2.610000
18	72671.920000	1340298	54220.718	3.060000
19	70570.570000	1021587	69079.354	2.672000
20	67187.090000	1343662	50002.969	3.129000
