run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	37322.970000	1681727	22193.239	1.433000
2	35116.210000	1324259	26517.630	1.292000
3	35060.650000	1505636	23286.272	1.314000
4	34533.010000	1458227	23681.505	1.291000
5	35814.570000	1679460	21325.051	1.422000
6	35438.950000	1391393	25470.122	1.355000
7	34803.640000	1384773	25133.101	1.434000
8	35445.630000	1780320	19909.696	1.379000
9	35418.120000	1575753	22476.949	1.330000
10	35050.180000	1387372	25263.722	1.355000
11	35499.240000	1780559	19937.132	1.488000
12	34333.630000	1469263	23367.927	1.423000
13	34382.290000	1306455	26317.240	1.335000
14	34918.850000	1482484	23554.285	1.368000
15	36799.850000	1871566	19662.598	1.454000
16	35268.820000	1240036	28441.771	1.290000
17	35035.990000	1383670	25321.059	1.345000
18	34525.090000	1266365	27263.143	1.297000
19	35212.060000	1314006	26797.488	1.331000
20	34333.240000	1473709	23297.164	1.339000
