run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	51890.290000	2134522	24310.028	2.095000
2	48096.940000	1355369	35486.233	1.985000
3	48849.360000	1317521	37076.722	1.856000
4	47539.070000	1249500	38046.475	1.898000
5	47840.640000	1474621	32442.668	1.953000
6	48339.910000	1745975	27686.485	2.064000
7	47861.250000	1175162	40727.364	2.009000
8	48210.380000	1478890	32599.030	1.950000
9	48242.820000	1508516	31980.317	2.030000
10	48766.670000	1261230	38665.961	1.982000
11	48887.080000	2265202	21581.775	2.217000
12	48213.490000	1612901	29892.405	2.116000
13	47455.480000	1238938	38303.353	1.881000
14	49423.120000	1611685	30665.496	2.034000
15	48919.610000	2032631	24067.138	1.997000
16	50488.830000	1581845	31917.685	1.945000
17	47277.230000	1398411	33807.822	1.806000
18	47896.700000	1324863	36152.191	2.036000
19	48892.720000	1588674	30775.804	2.013000
20	47277.080000	1302621	36293.811	2.045000
