run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	22053.200000	1367212	16130.052	0.810000
2	22434.770000	1469750	15264.344	0.844000
3	21637.170000	1085003	19942.037	0.776000
4	22388.710000	1513194	14795.664	0.898000
5	22390.930000	1532474	14610.969	0.831000
6	22520.870000	1418765	15873.573	0.802000
7	22062.130000	1551143	14223.144	0.871000
8	22089.910000	1424365	15508.602	0.802000
9	22531.370000	1561158	14432.473	0.868000
10	22189.220000	1610344	13779.180	0.823000
11	21904.270000	1481096	14789.230	0.814000
12	21347.050000	1119486	19068.617	0.798000
13	22360.760000	1572327	14221.444	0.896000
14	21441.390000	1290584	16613.711	0.790000
15	22912.250000	1569794	14595.705	0.875000
16	22471.030000	1391925	16143.851	0.816000
17	21964.290000	1382870	15883.120	0.827000
18	21687.070000	1450760	14948.765	0.824000
19	22035.480000	1480543	14883.377	0.814000
20	22653.680000	1420259	15950.387	0.831000
