metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	32	+32.000000
work_us_mean	nan	5708.7633749999995	+nan
work_us_median	nan	4656.354	+nan
work_us_max	nan	45706.74	+nan
work_total_ms	nan	182.68042799999998	+nan
bench_sec	1.983	1.794	-0.189000
override_peak	51872	48764	-3108.000000
