metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	43	+43.000000
work_us_mean	nan	5900.196906976744	+nan
work_us_median	nan	5652.356	+nan
work_us_max	nan	17634.84	+nan
work_total_ms	nan	253.708467	+nan
bench_sec	2.525	2.566	+0.041000
override_peak	70523	65152	-5371.000000
