metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	57	+57.000000
work_us_mean	nan	7422.922157894737	+nan
work_us_median	nan	7276.627	+nan
work_us_max	nan	23645.93	+nan
work_total_ms	nan	423.10656300000005	+nan
bench_sec	2.795	4.242	+1.447000
override_peak	87965	86224	-1741.000000
