metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	33	+33.000000
work_us_mean	nan	4259.864909090909	+nan
work_us_median	nan	4152.404	+nan
work_us_max	nan	9948.799	+nan
work_total_ms	nan	140.575542	+nan
bench_sec	1.985	1.785	-0.200000
override_peak	51698	50726	-972.000000
