phase	runs	task_clock_ms_mean	context_switches_mean	avg_cs_ns_mean	avg_cs_ns_median	avg_cs_ns_p95	avg_cs_ns_stddev	avg_cs_ns_ci95	bench_total_sec_mean
monitor_off	20	35215.649	1487851.6	23960.855	23617.895	27322.074	2546.009	1115.838	1.363750
monitor_on	20	35167.898	1415573.8	25150.012	25297.062	28855.183	2692.403	1179.998	1.422500
