metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	52	+52.000000
work_us_mean	nan	7621.181788461538	+nan
work_us_median	nan	7424.9115	+nan
work_us_max	nan	21794.5	+nan
work_total_ms	nan	396.301453	+nan
bench_sec	2.764	2.632	-0.132000
override_peak	87985	82164	-5821.000000
