metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	56	+56.000000
work_us_mean	nan	7416.952839285714	+nan
work_us_median	nan	6718.406	+nan
work_us_max	nan	33257.38	+nan
work_total_ms	nan	415.349359	+nan
bench_sec	2.850	2.713	-0.137000
override_peak	87807	88176	+369.000000
