t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3302.235807	0	0	0
3302.435924	1237	1297088512	4127964155
3302.635924	2463	2582642688	8397807245
3302.835924	3684	3862953984	12532605102
3303.035924	4869	5105516544	16678141569
3303.235924	6010	6301941760	20715763550
3303.435924	8248	8648654848	25184615084
3303.635924	10560	11072962560	29458729798
3303.835924	12965	13594787840	33625803656
3304.035924	15314	16057892864	38181776644
3304.235924	17746	18608029696	42611752191
3304.435924	20011	20983054336	46727670170
3304.635924	21452	22494052352	51122389514
3304.835924	22232	23311941632	55103853561
3305.035924	23374	24509415424	59350034941
3305.235924	24360	25543311360	63482058012
3305.435924	25519	26758610944	67783387257
3305.635924	26697	27993833472	72049878834
3305.835924	27917	29273096192	76208503224
3306.035924	28887	30290214912	80444407541
3306.235924	29308	30731665408	85883859552
3306.435924	30475	31955353600	90216589900
3306.635924	31230	32747028480	94708651526
3306.835924	32341	33911996416	98975127406
3307.035924	33498	35125198848	103357071753
3307.235924	34527	36204183552	107487612769
3307.435924	35692	37425774592	111675823680
3307.635924	36833	38622199808	116132141840
3307.835924	38056	39904608256	120447667434
3308.035924	39173	41075867648	125010603761
3308.235924	40003	41946185728	128023793557
3308.435924	40537	42506125312	133537055193
3308.635924	41690	43715133440	137571310807
3308.835924	42822	44902121472	141761908634
3309.035924	43602	45720010752	145816967716
3309.235924	44571	46736080896	150268483133
3309.435924	45734	47955574784	154560040495
3309.635924	46866	49142562816	158843820870
3309.835924	47847	50171215872	163337831624
3310.035924	48953	51330940928	167445410873
3310.235924	50128	52563017728	171580059173
3310.435924	51039	53518270464	176062637021
3310.635924	52302	54842621952	180175963191
3310.835924	53569	56171167744	184594021722
3311.035924	54643	57297338368	188549640378
3311.235924	55431	58123616256	191268396937
3311.435924	55661	58364788736	194518670510
3311.635924	56643	59394490368	201837717254
3311.835924	57556	60351840256	205955906328
3312.035924	58737	61590208512	210122156950
3312.235924	59942	62853742592	214375607261
3312.435924	61123	64092110848	218528301944
3312.635924	62328	65355644928	222821685049
3312.835924	63093	66157805568	227687273754
3313.035924	64169	67286073344	231876702917
3313.235924	65345	68519198720	236059604577
3313.435924	66510	69740789760	240313622442
3313.635924	67624	70908903424	244665484251
3313.835924	68617	71950139392	249014213346
3314.035924	69719	73105670144	253358703110
3314.235924	70882	74325164032	257749950500
3314.435924	71882	75373740032	262055039009
3314.635924	73002	76548145152	266268857843
3314.835924	74154	77756104704	270421702717
3315.035924	75220	78873886720	274593589653
3315.235924	76342	80050388992	278849305676
3315.435924	77420	81180753920	283037436614
3315.635924	78558	82374033408	287263843922
3315.835924	79643	83511738368	291609934615
3316.035924	80821	84746960896	295791148197
3316.235924	81946	85926608896	299993561352
3316.435924	83075	87110451200	304337380878
3316.635924	84143	88230330368	308667888988
3316.835924	85150	89286246400	312955757139
3317.035924	86306	90498400256	317240461732
3317.235924	87308	91549073408	321561226473
3317.435924	88293	92581920768	325934001225
3317.635924	89316	93654614016	330050011792
3317.835924	90463	94857330688	334168398967
3318.035924	91420	95860817920	338160500721
3318.235924	91448	95890178048	339806068870
3318.435924	92538	97033125888	347044946818
3318.635924	93616	98163490816	351419087958
3318.835924	94682	99281272832	355600261624
3319.035924	95397	100031004672	359669800162
3319.235924	96569	101259935744	363850778209
3319.435924	97719	102465798144	368208915727
3319.635924	98868	103670611968	372569435079
3319.835924	99956	104811462656	376916463021
3320.035924	101118	106029907968	381010133938
3320.235924	102272	107239964672	385330455711
3320.435924	103462	108487770112	389597383799
3320.635924	104544	109622329344	393737097095
3320.835924	105647	110778908672	398093588222
3321.035924	106870	112061317120	402458530085
3321.235924	108053	113301782528	406909964428
3321.435924	109108	114408030208	411108681259
3321.635924	110318	115676807168	415386506649
3321.835924	111484	116899446784	419469488058
3322.035924	112667	118139912192	423806660806
3322.235924	113769	119295442944	428137454789
