1780391205084, 47542, 0, 0, 0
1780391205304, 65163, 0, 0, 0
1780391205530, 181238, 0, 0, 0
1780391205730, 624640, 0, 0, 0
1780391205930, 1285120, 0, 0, 0
1780391206130, 1996800, 0, 0, 0
1780391206331, 1556480, 0, 0, 0
1780391206531, 983040, 0, 0, 0
1780391206731, 1233920, 0, 0, 0
1780391206931, 1034240, 0, 0, 0
1780391207131, 1228800, 0, 0, 0
1780391207331, 706560, 0, 0, 0
1780391207531, 773120, 0, 0, 0
1780391207731, 2421760, 0, 0, 0
1780391207931, 1633280, 0, 0, 0
1780391208131, 629760, 0, 0, 0
1780391208331, 1198080, 0, 0, 0
1780391208530, 735839, 0, 0, 0
1780391208730, 701440, 0, 0, 0
1780391208930, 1003520, 0, 0, 0
1780391209130, 1152000, 0, 0, 0
1780391209330, 1029120, 0, 0, 0
1780391209530, 184320, 0, 0, 0
1780391209731, 465920, 0, 0, 0
1780391209931, 1008640, 0, 0, 0
1780391210131, 2104320, 0, 0, 0
1780391210331, 1474560, 0, 0, 0
1780391210531, 1592320, 0, 0, 0
1780391210731, 752640, 0, 0, 0
1780391210931, 1249280, 0, 0, 0
1780391211131, 727040, 0, 0, 0
1780391211331, 655360, 0, 0, 0
1780391211531, 1341440, 0, 0, 0
1780391211731, 2048000, 0, 0, 0
1780391211931, 890880, 0, 0, 0
1780391212131, 1459200, 0, 0, 0
1780391212330, 694673, 0, 0, 0
1780391212530, 1018880, 0, 0, 0
1780391212730, 2682880, 0, 0, 0
1780391212930, 870400, 0, 0, 0
1780391213130, 1802240, 0, 0, 0
1780391213330, 629760, 0, 0, 0
1780391213530, 737280, 0, 0, 0
1780391213731, 701440, 0, 0, 0
1780391213931, 865280, 0, 0, 0
1780391214131, 916480, 0, 0, 0
1780391214331, 496640, 0, 0, 0
1780391214531, 1479680, 0, 0, 0
1780391214731, 1397760, 0, 0, 0
1780391214931, 952320, 0, 0, 0
1780391215131, 701440, 0, 0, 0
1780391215331, 312320, 0, 0, 0
1780391215531, 844800, 0, 0, 0
1780391215730, 792442, 0, 0, 0
1780391215930, 1121280, 0, 0, 0
1780391216130, 1607680, 0, 0, 0
1780391216330, 471040, 0, 0, 0
1780391216530, 204800, 0, 0, 0
1780391216730, 512000, 0, 0, 0
1780391216931, 650240, 0, 0, 0
1780391217131, 701440, 0, 0, 0
1780391217331, 629760, 0, 0, 0
1780391217531, 629760, 0, 0, 0
1780391217731, 670720, 0, 0, 0
1780391217931, 1331200, 0, 0, 0
1780391218131, 860160, 0, 0, 0
1780391218331, 640000, 0, 0, 0
1780391218531, 706560, 0, 0, 0
1780391218731, 696320, 0, 0, 0
1780391218930, 751276, 0, 0, 0
1780391219130, 2918400, 0, 0, 0
1780391219330, 1546240, 0, 0, 0
1780391219530, 332800, 0, 0, 0
1780391219730, 721920, 0, 0, 0
1780391219930, 947200, 0, 0, 0
1780391220131, 1105920, 0, 0, 0
1780391220331, 1356800, 0, 0, 0
1780391220531, 988160, 0, 0, 0
1780391220731, 998400, 0, 0, 0
1780391220931, 1341440, 0, 0, 0
1780391221131, 1551360, 0, 0, 0
1780391221331, 1464320, 0, 0, 0
1780391221531, 911360, 0, 0, 0
1780391221731, 849920, 0, 0, 0
1780391221931, 1152000, 0, 0, 0
1780391222131, 1679360, 0, 0, 0
1780391222331, 798720, 0, 0, 0
1780391222531, 1638400, 0, 0, 0
1780391222730, 581467, 0, 0, 0
1780391222930, 808960, 0, 0, 0
1780391223130, 711680, 0, 0, 0
1780391223330, 716800, 0, 0, 0
1780391223530, 547840, 0, 0, 0
1780391223730, 660480, 0, 0, 0
1780391223931, 1182720, 0, 0, 0
1780391224131, 3256320, 0, 0, 0
1780391224331, 599040, 0, 0, 0
1780391224531, 880640, 0, 0, 0
1780391224731, 3942400, 0, 0, 0
1780391224931, 1925120, 0, 0, 0
1780391225131, 558080, 0, 0, 0
1780391225331, 496640, 0, 0, 0
1780391225531, 1438720, 0, 0, 0
1780391225731, 486400, 0, 0, 0
1780391225931, 1966080, 0, 0, 0
1780391226131, 593920, 0, 0, 0
1780391226330, 324180, 0, 0, 0
1780391226530, 2293760, 0, 0, 0
1780391226730, 1244160, 0, 0, 0
1780391226930, 363520, 0, 0, 0
1780391227130, 1495040, 0, 0, 0
1780391227330, 629760, 0, 0, 0
1780391227530, 1192960, 0, 0, 0
1780391227731, 921600, 0, 0, 0
1780391227931, 230400, 0, 0, 0
1780391228131, 1264640, 0, 0, 0
1780391228331, 2007040, 0, 0, 0
1780391228531, 1802240, 0, 0, 0
1780391228731, 588800, 0, 0, 0
1780391228931, 399360, 0, 0, 0
1780391229131, 670720, 0, 0, 0
1780391229331, 322560, 0, 0, 0
1780391229531, 1920000, 0, 0, 0
1780391229731, 435200, 0, 0, 0
1780391229930, 447678, 0, 0, 0
1780391230130, 752640, 0, 0, 0
1780391230330, 660480, 0, 0, 0
1780391230530, 762880, 0, 0, 0
1780391230730, 880640, 0, 0, 0
1780391230930, 732160, 0, 0, 0
1780391231131, 1418240, 0, 0, 0
1780391231331, 1013760, 0, 0, 0
1780391231531, 762880, 0, 0, 0
1780391231731, 1331200, 0, 0, 0
1780391231931, 2058240, 0, 0, 0
1780391232131, 1689600, 0, 0, 0
1780391232331, 1008640, 0, 0, 0
1780391232531, 486400, 0, 0, 0
1780391232731, 343040, 0, 0, 0
1780391232931, 619520, 0, 0, 0
1780391233131, 824320, 0, 0, 0
1780391233331, 2580480, 0, 0, 0
1780391233530, 751276, 0, 0, 0
1780391233730, 727040, 0, 0, 0
1780391233930, 998400, 0, 0, 0
1780391234130, 1228800, 0, 0, 0
1780391234329, 2989668, 0, 0, 0
1780391234530, 1558925, 0, 0, 0
1780391234731, 942080, 0, 0, 0
1780391204932, 127363, 0, 0, 0
1780391205131, 51457, 0, 0, 0
1780391205331, 71680, 0, 0, 0
1780391205531, 40960, 0, 0, 0
1780391205731, 194560, 0, 0, 0
1780391205931, 732160, 0, 0, 0
1780391206131, 1413120, 0, 0, 0
1780391206331, 573440, 0, 0, 0
1780391206531, 542720, 0, 0, 0
1780391206731, 332800, 0, 0, 0
1780391206931, 614400, 0, 0, 0
1780391207132, 373760, 0, 0, 0
1780391207332, 163840, 0, 0, 0
1780391207532, 168960, 0, 0, 0
1780391207732, 368640, 0, 0, 0
1780391207932, 737280, 0, 0, 0
1780391208132, 1116160, 0, 0, 0
1780391208332, 414720, 0, 0, 0
1780391208531, 910793, 0, 0, 0
1780391208731, 1566720, 0, 0, 0
1780391208931, 921600, 0, 0, 0
1780391209131, 588800, 0, 0, 0
1780391209331, 962560, 0, 0, 0
1780391209531, 143360, 0, 0, 0
1780391209731, 394240, 0, 0, 0
1780391209931, 1710080, 0, 0, 0
1780391210131, 1070080, 0, 0, 0
1780391210331, 532480, 0, 0, 0
1780391210531, 460800, 0, 0, 0
1780391210732, 737280, 0, 0, 0
1780391210932, 486400, 0, 0, 0
1780391211132, 414720, 0, 0, 0
1780391211332, 1269760, 0, 0, 0
1780391211532, 1003520, 0, 0, 0
1780391211732, 250880, 0, 0, 0
1780391211932, 256000, 0, 0, 0
1780391212132, 312320, 0, 0, 0
1780391212331, 1008562, 0, 0, 0
1780391212531, 471040, 0, 0, 0
1780391212731, 56320, 0, 0, 0
1780391212931, 793600, 0, 0, 0
1780391213131, 465920, 0, 0, 0
1780391213331, 824320, 0, 0, 0
1780391213531, 358400, 0, 0, 0
1780391213731, 762880, 0, 0, 0
1780391213931, 619520, 0, 0, 0
1780391214131, 368640, 0, 0, 0
1780391214331, 1356800, 0, 0, 0
1780391214531, 230400, 0, 0, 0
1780391214732, 424960, 0, 0, 0
1780391214932, 727040, 0, 0, 0
1780391215132, 409600, 0, 0, 0
1780391215332, 271360, 0, 0, 0
1780391215532, 629760, 0, 0, 0
1780391215731, 1018854, 0, 0, 0
1780391215931, 547840, 0, 0, 0
1780391216131, 665600, 0, 0, 0
1780391216331, 1203200, 0, 0, 0
1780391216531, 906240, 0, 0, 0
1780391216731, 1029120, 0, 0, 0
1780391216931, 332800, 0, 0, 0
1780391217131, 752640, 0, 0, 0
1780391217331, 1070080, 0, 0, 0
1780391217531, 1479680, 0, 0, 0
1780391217732, 819200, 0, 0, 0
1780391217932, 552960, 0, 0, 0
1780391218132, 711680, 0, 0, 0
1780391218332, 583680, 0, 0, 0
1780391218532, 445440, 0, 0, 0
1780391218732, 593920, 0, 0, 0
1780391218931, 2063437, 0, 0, 0
1780391219131, 66560, 0, 0, 0
1780391219331, 20480, 0, 0, 0
1780391219531, 148480, 0, 0, 0
1780391219731, 778240, 0, 0, 0
1780391219931, 614400, 0, 0, 0
1780391220131, 634880, 0, 0, 0
1780391220331, 1433600, 0, 0, 0
1780391220531, 645120, 0, 0, 0
1780391220731, 430080, 0, 0, 0
1780391220931, 645120, 0, 0, 0
1780391221132, 844800, 0, 0, 0
1780391221332, 645120, 0, 0, 0
1780391221532, 1469440, 0, 0, 0
1780391221732, 593920, 0, 0, 0
1780391221932, 773120, 0, 0, 0
1780391222132, 476160, 0, 0, 0
1780391222332, 250880, 0, 0, 0
1780391222532, 138240, 0, 0, 0
1780391222731, 540301, 0, 0, 0
1780391222931, 563200, 0, 0, 0
1780391223131, 578560, 0, 0, 0
1780391223331, 573440, 0, 0, 0
1780391223531, 522240, 0, 0, 0
1780391223731, 435200, 0, 0, 0
1780391223931, 378880, 0, 0, 0
1780391224131, 281600, 0, 0, 0
1780391224331, 727040, 0, 0, 0
1780391224531, 348160, 0, 0, 0
1780391224731, 215040, 0, 0, 0
1780391224932, 593920, 0, 0, 0
1780391225132, 675840, 0, 0, 0
1780391225332, 732160, 0, 0, 0
1780391225532, 261120, 0, 0, 0
1780391225732, 870400, 0, 0, 0
1780391225932, 302080, 0, 0, 0
1780391226132, 1121280, 0, 0, 0
1780391226331, 566030, 0, 0, 0
1780391226531, 307200, 0, 0, 0
1780391226731, 476160, 0, 0, 0
1780391226931, 1597440, 0, 0, 0
1780391227131, 737280, 0, 0, 0
1780391227331, 450560, 0, 0, 0
1780391227531, 655360, 0, 0, 0
1780391227731, 604160, 0, 0, 0
1780391227931, 865280, 0, 0, 0
1780391228131, 624640, 0, 0, 0
1780391228331, 599040, 0, 0, 0
1780391228531, 901120, 0, 0, 0
1780391228732, 481280, 0, 0, 0
1780391228932, 993280, 0, 0, 0
1780391229132, 691200, 0, 0, 0
1780391229332, 1029120, 0, 0, 0
1780391229532, 358400, 0, 0, 0
1780391229732, 860160, 0, 0, 0
1780391229931, 699819, 0, 0, 0
1780391230131, 1269760, 0, 0, 0
1780391230331, 675840, 0, 0, 0
1780391230531, 573440, 0, 0, 0
1780391230731, 532480, 0, 0, 0
1780391230931, 824320, 0, 0, 0
1780391231131, 547840, 0, 0, 0
1780391231331, 931840, 0, 0, 0
1780391231531, 737280, 0, 0, 0
1780391231731, 798720, 0, 0, 0
1780391231931, 1377280, 0, 0, 0
1780391232132, 665600, 0, 0, 0
1780391232332, 414720, 0, 0, 0
1780391232532, 711680, 0, 0, 0
1780391232732, 1454080, 0, 0, 0
1780391232932, 1003520, 0, 0, 0
1780391233132, 1141760, 0, 0, 0
1780391233332, 875520, 0, 0, 0
1780391233531, 838753, 0, 0, 0
1780391233731, 414720, 0, 0, 0
1780391233931, 286720, 0, 0, 0
1780391234131, 737280, 0, 0, 0
1780391234330, 385929, 0, 0, 0
1780391234531, 866069, 0, 0, 0
1780391234731, 716800, 0, 0, 0
1780391204931, 117760, 0, 0, 0
1780391205130, 66894, 0, 0, 0
1780391205330, 30720, 0, 0, 0
1780391205531, 35840, 0, 0, 0
