metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	11	+11.000000
work_us_mean	nan	1613.1026363636363	+nan
work_us_median	nan	1605.832	+nan
work_us_max	nan	3530.033	+nan
work_total_ms	nan	17.744129	+nan
bench_sec	0.796	0.868	+0.072000
override_peak	17098	16333	-765.000000
