配置编号,Background数量,块大小,调度器模式,配置描述,high_threshold,low_threshold,运行次数,fio吞吐量(KB/s),fio吞吐量(MB/s),RocksDB平均延迟(μs),RocksDB真实Get平均延迟(μs),DeviceRead平均延迟(μs),DeviceReadP50(μs),DeviceReadP95(μs),DeviceReadP99(μs),DeviceRead样本数,RocksDB统计项,dbbench_elapsed_s,dbbench_ops_per_sec,完成时间
2,2,1M,bfq,bfq,N/A,N/A,2,11373493,11106.93,101110.252,569.572,476.590,505,708,788,346,readrandom,26.084,9,2026年 05月 15日 星期五 21:12:46 CST
3,2,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,2,11390225,11123.27,100847.288,306.732,286.699,286,424,528,345,readrandom,26.087,9,2026年 05月 15日 星期五 21:13:25 CST
4,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,2,11531182,11260.92,100783.800,244.108,237.524,234,367,732,351,readrandom,26.091,9,2026年 05月 15日 星期五 21:14:03 CST
5,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,2,11570546,11299.36,100768.104,229.100,230.073,183,339,646,344,readrandom,26.089,9,2026年 05月 15日 星期五 21:14:42 CST
6,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,2,11562306,11291.31,100692.636,152.444,182.607,143,355,882,341,readrandom,26.091,9,2026年 05月 15日 星期五 21:15:20 CST
7,4,1M,none,none,N/A,N/A,2,11985657,11704.74,101926.400,1389.432,1386.226,1379,1807,2108,350,readrandom,27.091,9,2026年 05月 15日 星期五 21:15:58 CST
8,4,1M,bfq,bfq,N/A,N/A,2,11089731,10829.82,101776.888,1237.556,954.407,1096,1472,1571,349,readrandom,26.089,9,2026年 05月 15日 星期五 21:16:37 CST
9,4,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,2,11274087,11009.85,100859.440,320.984,296.676,286,427,598,343,readrandom,26.086,9,2026年 05月 15日 星期五 21:17:15 CST
10,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,2,11369804,11103.32,100776.120,236.600,238.110,225,360,579,345,readrandom,26.090,9,2026年 05月 15日 星期五 21:17:53 CST
11,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,2,11432294,11164.35,100779.616,239.240,234.185,181,348,911,351,readrandom,26.091,9,2026年 05月 15日 星期五 21:18:31 CST
12,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,2,11434161,11166.17,100687.120,147.688,179.011,134,394,1137,350,readrandom,26.087,9,2026年 05月 15日 星期五 21:19:10 CST
13,8,1M,none,none,N/A,N/A,2,12257219,11969.94,103274.776,2737.456,2650.176,2684,3076,3383,346,readrandom,27.092,9,2026年 05月 15日 星期五 21:19:48 CST
14,8,1M,bfq,bfq,N/A,N/A,2,10895155,10639.80,103128.924,2590.272,1951.584,2421,3025,3171,351,readrandom,27.090,9,2026年 05月 15日 星期五 21:20:27 CST
15,8,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,2,11184191,10922.06,100856.344,320.320,326.052,284,470,1901,344,readrandom,26.087,9,2026年 05月 15日 星期五 21:21:05 CST
16,8,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,2,11271095,11006.93,100824.328,285.172,287.202,229,457,1206,346,readrandom,26.090,9,2026年 05月 15日 星期五 21:21:44 CST
17,8,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,2,11314181,11049.00,100727.920,190.596,217.971,180,375,771,342,readrandom,26.088,9,2026年 05月 15日 星期五 21:22:22 CST
18,8,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,2,11629104,11356.55,100672.732,135.016,155.977,121,308,565,352,readrandom,26.087,9,2026年 05月 15日 星期五 21:23:00 CST
19,16,1M,none,none,N/A,N/A,2,12167997,11882.81,104666.980,4127.532,3878.848,3477,6367,10866,356,readrandom,28.094,9,2026年 05月 15日 星期五 21:23:40 CST
20,16,1M,bfq,bfq,N/A,N/A,2,10770012,10517.59,103130.380,2589.632,1924.519,2448,3058,3223,351,readrandom,27.087,9,2026年 05月 15日 星期五 21:24:19 CST
21,16,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,2,10917257,10661.38,100877.460,336.488,292.342,285,435,601,357,readrandom,26.088,9,2026年 05月 15日 星期五 21:24:57 CST
22,16,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,2,10959334,10702.47,100786.640,247.936,243.252,224,402,681,349,readrandom,26.091,9,2026年 05月 15日 星期五 21:25:36 CST
23,16,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,2,10798128,10545.05,100723.900,183.084,250.721,161,359,680,351,readrandom,26.082,9,2026年 05月 15日 星期五 21:26:14 CST
24,16,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,2,10888436,10633.24,100674.612,136.908,159.022,112,356,556,361,readrandom,26.091,9,2026年 05月 15日 星期五 21:26:52 CST
1,2,1M,none,none,N/A,N/A,3,12282049,11994.19,101178.976,641.876,662.843,614,975,1182,350,readrandom,26.089,9,2026年 05月 15日 星期五 21:27:29 CST
2,2,1M,bfq,bfq,N/A,N/A,3,11389737,11122.79,101118.012,575.456,469.040,511,689,786,353,readrandom,26.087,9,2026年 05月 15日 星期五 21:28:08 CST
3,2,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,3,11391691,11124.70,100853.636,312.012,289.275,290,419,689,349,readrandom,26.085,9,2026年 05月 15日 星期五 21:28:46 CST
4,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,3,11413182,11145.69,100785.824,246.152,241.473,233,396,663,347,readrandom,26.087,9,2026年 05月 15日 星期五 21:29:24 CST
5,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,3,11571247,11300.05,100743.548,204.212,213.594,187,414,722,352,readrandom,26.091,9,2026年 05月 15日 星期五 21:30:03 CST
6,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,3,11588786,11317.17,100687.976,149.748,170.289,135,358,621,353,readrandom,26.086,9,2026年 05月 15日 星期五 21:30:41 CST
7,4,1M,none,none,N/A,N/A,3,12485929,12193.29,101838.108,1304.568,1266.023,1267,1529,1636,347,readrandom,26.092,9,2026年 05月 15日 星期五 21:31:18 CST
8,4,1M,bfq,bfq,N/A,N/A,3,11120521,10859.88,101783.696,1245.216,957.510,1134,1469,1536,351,readrandom,26.091,9,2026年 05月 15日 星期五 21:31:56 CST
9,4,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,3,11346977,11081.03,100855.476,316.544,288.654,288,431,543,353,readrandom,26.085,9,2026年 05月 15日 星期五 21:32:35 CST
10,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,3,11385098,11118.26,100787.716,249.616,246.911,240,396,806,349,readrandom,26.091,9,2026年 05月 15日 星期五 21:33:13 CST
11,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,3,11476614,11207.63,100729.556,188.904,214.494,173,360,1240,348,readrandom,26.088,9,2026年 05月 15日 星期五 21:33:52 CST
12,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,3,11403116,11135.86,100682.148,143.884,177.718,138,406,1203,351,readrandom,26.088,9,2026年 05月 15日 星期五 21:34:30 CST
13,8,1M,none,none,N/A,N/A,3,12541202,12247.27,103205.108,2666.380,2583.474,2572,3080,3266,348,readrandom,27.088,9,2026年 05月 15日 星期五 21:35:08 CST
14,8,1M,bfq,bfq,N/A,N/A,3,10876426,10621.51,103170.768,2632.436,1953.757,2467,3055,3163,354,readrandom,27.090,9,2026年 05月 15日 星期五 21:35:47 CST
15,8,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,3,11124428,10863.70,100839.388,301.508,285.375,285,423,578,341,readrandom,26.086,9,2026年 05月 15日 星期五 21:36:25 CST
16,8,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,3,11270378,11006.23,100787.336,245.436,248.025,228,416,791,355,readrandom,26.086,9,2026年 05月 15日 星期五 21:37:04 CST
17,8,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,3,11694024,11419.95,100721.584,181.144,187.045,157,366,548,352,readrandom,26.088,9,2026年 05月 15日 星期五 21:37:42 CST
18,8,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,3,11454943,11186.47,100684.940,143.252,169.540,122,420,687,350,readrandom,26.088,9,2026年 05月 15日 星期五 21:38:20 CST
19,16,1M,none,none,N/A,N/A,3,12186593,11900.97,105106.732,4568.412,4126.608,3667,7401,10459,357,readrandom,28.096,9,2026年 05月 15日 星期五 21:39:00 CST
20,16,1M,bfq,bfq,N/A,N/A,3,10778632,10526.01,103157.404,2616.168,1944.831,2457,3048,3313,350,readrandom,27.091,9,2026年 05月 15日 星期五 21:39:39 CST
21,16,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,3,10852159,10597.81,100874.240,333.400,334.927,287,437,615,368,readrandom,26.089,9,2026年 05月 15日 星期五 21:40:17 CST
22,16,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,3,10861758,10607.19,100792.236,251.660,239.589,228,400,542,353,readrandom,26.091,9,2026年 05月 15日 星期五 21:40:56 CST
23,16,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,3,10889697,10634.47,100737.340,195.784,185.726,154,344,603,365,readrandom,26.082,9,2026年 05月 15日 星期五 21:41:34 CST
24,16,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,3,11034739,10776.11,100681.056,140.176,157.491,118,331,569,348,readrandom,26.087,9,2026年 05月 15日 星期五 21:42:12 CST
