bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,5734835,39,5734874,5600,0,5600,36,96
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-1,none,11583090,39,11583129,11311,0,11311,72,148
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-1,bfq,12341295,39,12341334,12052,0,12052,91,136
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,12146287,39,12146326,11861,0,11861,78,140
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-2,none,11568739,39,11568778,11297,0,11297,75,138
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-2,bfq,10991633,39,10991672,10734,0,10734,83,185
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,12030284,39,12030323,11748,0,11748,85,138
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-3,none,11566315,39,11566354,11295,0,11295,77,163
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-3,bfq,11083838,39,11083877,10824,0,10824,75,136
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,11049127,39,11049166,10790,0,10790,77,214
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-1,none,12219533,39,12219572,11933,0,11933,519,700
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-1,bfq,11955085,39,11955124,11674,0,11674,492,643
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,11430354,39,11430393,11162,0,11162,256,326
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-2,none,12254823,39,12254862,11967,0,11967,508,627
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-2,bfq,11807229,39,11807268,11530,0,11530,491,651
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,11404823,39,11404862,11137,0,11137,260,469
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-3,none,12187859,39,12187898,11902,0,11902,525,635
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-3,bfq,11737465,39,11737504,11462,0,11462,508,659
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,11440866,39,11440905,11172,0,11172,245,371
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-1,none,13217500,39,13217539,12907,0,12907,2208,2507
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-1,bfq,11995330,39,11995369,11714,0,11714,2229,2540
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,10255993,39,10256032,10015,0,10015,277,481
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-2,none,13082465,39,13082504,12775,0,12775,2226,2572
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-2,bfq,12130057,39,12130096,11845,0,11845,2176,2507
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,10453361,39,10453400,10208,0,10208,259,457
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-3,none,13107636,39,13107675,12800,0,12800,2194,2540
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-3,bfq,12077506,39,12077545,11794,0,11794,2210,2507
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,10305008,39,10305047,10063,0,10063,278,469
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-1,none,541460,39,541499,528,0,528,44,82
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-1,bfq,538960,39,538999,526,0,526,35,81
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,525248,40,525288,512,0,512,37,74
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-2,none,543572,39,543611,530,0,530,32,78
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-2,bfq,542093,39,542132,529,0,529,39,196
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,539206,39,539245,526,0,526,56,245
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-3,none,540708,39,540747,528,0,528,34,92
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-3,bfq,543015,39,543054,530,0,530,37,97
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,521228,39,521267,509,0,509,40,106
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-1,none,2257170,39,2257209,2204,0,2204,31,87
