bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,5715061,39,5715100,5581,0,5581,42,105
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-1,none,11533856,39,11533895,11263,0,11263,82,212
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-1,bfq,10983851,39,10983890,10726,0,10726,79,171
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,11067558,39,11067597,10808,0,10808,82,189
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-2,none,11563994,39,11564033,11292,0,11293,79,200
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-2,bfq,11980683,39,11980722,11699,0,11699,79,130
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,11095056,39,11095095,10835,0,10835,84,204
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-3,none,11561281,39,11561320,11290,0,11290,77,148
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-3,bfq,11125819,39,11125858,10865,0,10865,81,144
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,11471806,39,11471845,11202,0,11202,81,134
