配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
8,4,16K,duet_same,duet_same(1048576),2,4.251GB/s,145.95,273,2025年 08月 08日 星期五 15:35:13 CST
8,4,16K,duet_dual,duet_dual(4194304/3145728),2,4.292GB/s,153.73,273,2025年 08月 08日 星期五 15:35:55 CST
8,4,16K,duet_dual,duet_dual(4194304/2097152),2,4.262GB/s,139.52,273,2025年 08月 08日 星期五 15:36:37 CST
8,4,16K,duet_dual,duet_dual(4194304/1048576),2,4.279GB/s,139.72,273,2025年 08月 08日 星期五 15:37:18 CST
8,4,16K,none,none,3,4.983GB/s,141.63,273,2025年 08月 08日 星期五 15:38:05 CST
8,4,16K,bfq,bfq,3,4.258GB/s,147.81,273,2025年 08月 08日 星期五 15:38:47 CST
8,4,16K,duet_same,duet_same(16777216),3,4.278GB/s,149.93,273,2025年 08月 08日 星期五 15:39:29 CST
8,4,16K,duet_same,duet_same(8388608),3,4.253GB/s,143.07,273,2025年 08月 08日 星期五 15:40:10 CST
8,4,16K,duet_same,duet_same(4194304),3,4.251GB/s,143.25,273,2025年 08月 08日 星期五 15:40:52 CST
8,4,16K,duet_same,duet_same(2097152),3,4.266GB/s,148.10,273,2025年 08月 08日 星期五 15:41:34 CST
8,4,16K,duet_same,duet_same(1048576),3,4.253GB/s,153.58,273,2025年 08月 08日 星期五 15:42:15 CST
8,4,16K,duet_dual,duet_dual(4194304/3145728),3,4.258GB/s,147.26,273,2025年 08月 08日 星期五 15:42:57 CST
8,4,16K,duet_dual,duet_dual(4194304/2097152),3,4.258GB/s,142.65,274,2025年 08月 08日 星期五 15:43:39 CST
8,4,16K,duet_dual,duet_dual(4194304/1048576),3,4.250GB/s,140.67,273,2025年 08月 08日 星期五 15:44:20 CST
9,4,64K,none,none,1,7.437GB/s,155.52,273,2025年 08月 08日 星期五 15:45:12 CST
9,4,64K,bfq,bfq,1,7.271GB/s,141.73,273,2025年 08月 08日 星期五 15:45:54 CST
9,4,64K,duet_same,duet_same(16777216),1,7.255GB/s,145.57,273,2025年 08月 08日 星期五 15:46:35 CST
9,4,64K,duet_same,duet_same(8388608),1,7.239GB/s,143.22,273,2025年 08月 08日 星期五 15:47:17 CST
9,4,64K,duet_same,duet_same(4194304),1,7.232GB/s,149.82,273,2025年 08月 08日 星期五 15:47:59 CST
9,4,64K,duet_same,duet_same(2097152),1,7.237GB/s,151.75,273,2025年 08月 08日 星期五 15:48:40 CST
9,4,64K,duet_same,duet_same(1048576),1,7.263GB/s,147.51,273,2025年 08月 08日 星期五 15:49:22 CST
9,4,64K,duet_dual,duet_dual(4194304/3145728),1,7.224GB/s,141.61,273,2025年 08月 08日 星期五 15:50:04 CST
9,4,64K,duet_dual,duet_dual(4194304/2097152),1,7.249GB/s,149.28,273,2025年 08月 08日 星期五 15:50:45 CST
9,4,64K,duet_dual,duet_dual(4194304/1048576),1,7.272GB/s,156.85,273,2025年 08月 08日 星期五 15:51:27 CST
9,4,64K,none,none,2,7.415GB/s,147.51,273,2025年 08月 08日 星期五 15:52:14 CST
9,4,64K,bfq,bfq,2,7.257GB/s,143.11,273,2025年 08月 08日 星期五 15:52:55 CST
9,4,64K,duet_same,duet_same(16777216),2,7.226GB/s,146.75,273,2025年 08月 08日 星期五 15:53:37 CST
9,4,64K,duet_same,duet_same(8388608),2,7.242GB/s,150.51,273,2025年 08月 08日 星期五 15:54:19 CST
9,4,64K,duet_same,duet_same(4194304),2,7.257GB/s,141.91,273,2025年 08月 08日 星期五 15:55:00 CST
9,4,64K,duet_same,duet_same(2097152),2,7.248GB/s,150.77,273,2025年 08月 08日 星期五 15:55:42 CST
9,4,64K,duet_same,duet_same(1048576),2,7.246GB/s,151.99,273,2025年 08月 08日 星期五 15:56:24 CST
9,4,64K,duet_dual,duet_dual(4194304/3145728),2,7.246GB/s,148.52,273,2025年 08月 08日 星期五 15:57:05 CST
9,4,64K,duet_dual,duet_dual(4194304/2097152),2,7.236GB/s,148.67,273,2025年 08月 08日 星期五 15:57:47 CST
9,4,64K,duet_dual,duet_dual(4194304/1048576),2,7.244GB/s,145.80,273,2025年 08月 08日 星期五 15:58:29 CST
9,4,64K,none,none,3,7.405GB/s,154.29,273,2025年 08月 08日 星期五 15:59:15 CST
9,4,64K,bfq,bfq,3,7.225GB/s,153.36,273,2025年 08月 08日 星期五 15:59:57 CST
9,4,64K,duet_same,duet_same(16777216),3,7.243GB/s,147.92,273,2025年 08月 08日 星期五 16:00:39 CST
9,4,64K,duet_same,duet_same(8388608),3,7.237GB/s,145.45,273,2025年 08月 08日 星期五 16:01:20 CST
9,4,64K,duet_same,duet_same(4194304),3,7.242GB/s,142.45,273,2025年 08月 08日 星期五 16:02:02 CST
9,4,64K,duet_same,duet_same(2097152),3,7.232GB/s,148.22,273,2025年 08月 08日 星期五 16:02:44 CST
9,4,64K,duet_same,duet_same(1048576),3,7.262GB/s,145.19,273,2025年 08月 08日 星期五 16:03:25 CST
9,4,64K,duet_dual,duet_dual(4194304/3145728),3,7.276GB/s,141.76,273,2025年 08月 08日 星期五 16:04:07 CST
9,4,64K,duet_dual,duet_dual(4194304/2097152),3,7.235GB/s,143.51,273,2025年 08月 08日 星期五 16:04:49 CST
9,4,64K,duet_dual,duet_dual(4194304/1048576),3,7.257GB/s,149.24,273,2025年 08月 08日 星期五 16:05:30 CST
1,4,256K,none,none,1,13.958GB/s,276.54,271,2025年 08月 09日 星期六 16:23:54 CST
1,4,256K,bfq,bfq,1,12.992GB/s,265.90,271,2025年 08月 09日 星期六 16:24:36 CST
1,4,256K,duet_same,duet_same(16777216),1,12.992GB/s,266.89,271,2025年 08月 09日 星期六 16:25:18 CST
1,4,256K,duet_same,duet_same(8388608),1,13.099GB/s,260.68,271,2025年 08月 09日 星期六 16:26:00 CST
1,4,256K,duet_same,duet_same(4194304),1,12.992GB/s,263.53,271,2025年 08月 09日 星期六 16:26:42 CST
1,4,256K,duet_same,duet_same(2097152),1,10.576GB/s,159.65,272,2025年 08月 09日 星期六 16:27:24 CST
1,4,256K,duet_same,duet_same(1048576),1,6.431GB/s,136.70,273,2025年 08月 09日 星期六 16:28:06 CST
1,4,256K,duet_dual,duet_dual(4194304/3145728),1,12.240GB/s,216.66,271,2025年 08月 09日 星期六 16:28:48 CST
1,4,256K,duet_dual,duet_dual(4194304/2097152),1,11.596GB/s,172.36,272,2025年 08月 09日 星期六 16:29:30 CST
1,4,256K,duet_dual,duet_dual(4194304/1048576),1,10.511GB/s,136.34,273,2025年 08月 09日 星期六 16:30:12 CST
1,4,256K,none,none,2,14.925GB/s,274.24,271,2025年 08月 09日 星期六 16:30:58 CST
1,4,256K,bfq,bfq,2,13.099GB/s,265.76,271,2025年 08月 09日 星期六 16:31:40 CST
1,4,256K,duet_same,duet_same(16777216),2,13.099GB/s,266.07,271,2025年 08月 09日 星期六 16:32:22 CST
1,4,256K,duet_same,duet_same(8388608),2,13.207GB/s,260.32,271,2025年 08月 09日 星期六 16:33:04 CST
1,4,256K,duet_same,duet_same(4194304),2,13.099GB/s,261.32,271,2025年 08月 09日 星期六 16:33:46 CST
1,4,256K,duet_same,duet_same(2097152),2,10.449GB/s,156.05,272,2025年 08月 09日 星期六 16:34:28 CST
1,4,256K,duet_same,duet_same(1048576),2,6.412GB/s,134.00,273,2025年 08月 09日 星期六 16:35:10 CST
1,4,256K,duet_dual,duet_dual(4194304/3145728),2,12.348GB/s,211.13,271,2025年 08月 09日 星期六 16:35:52 CST
1,4,256K,duet_dual,duet_dual(4194304/2097152),2,11.596GB/s,167.52,272,2025年 08月 09日 星期六 16:36:34 CST
1,4,256K,duet_dual,duet_dual(4194304/1048576),2,10.737GB/s,135.72,273,2025年 08月 09日 星期六 16:37:16 CST
1,4,256K,none,none,3,14.066GB/s,274.13,271,2025年 08月 09日 星期六 16:38:03 CST
1,4,256K,bfq,bfq,3,13.099GB/s,267.17,271,2025年 08月 09日 星期六 16:38:44 CST
1,4,256K,duet_same,duet_same(16777216),3,13.099GB/s,261.99,271,2025年 08月 09日 星期六 16:39:26 CST
1,4,256K,duet_same,duet_same(8388608),3,13.099GB/s,261.56,271,2025年 08月 09日 星期六 16:40:08 CST
1,4,256K,duet_same,duet_same(4194304),3,12.992GB/s,264.96,271,2025年 08月 09日 星期六 16:40:50 CST
1,4,256K,duet_same,duet_same(2097152),3,10.463GB/s,163.34,272,2025年 08月 09日 星期六 16:41:32 CST
1,4,256K,duet_same,duet_same(1048576),3,6.409GB/s,134.30,273,2025年 08月 09日 星期六 16:42:14 CST
1,4,256K,duet_dual,duet_dual(4194304/3145728),3,12.348GB/s,215.36,271,2025年 08月 09日 星期六 16:42:56 CST
1,4,256K,duet_dual,duet_dual(4194304/2097152),3,11.274GB/s,170.40,272,2025年 08月 09日 星期六 16:43:38 CST
1,4,256K,duet_dual,duet_dual(4194304/1048576),3,10.694GB/s,136.10,273,2025年 08月 09日 星期六 16:44:20 CST
2,4,1M,none,none,1,11.274GB/s,1343.97,266,2025年 08月 09日 星期六 16:45:12 CST
2,4,1M,bfq,bfq,1,11.059GB/s,1278.88,266,2025年 08月 09日 星期六 16:45:53 CST
2,4,1M,duet_same,duet_same(16777216),1,11.059GB/s,1280.32,266,2025年 08月 09日 星期六 16:46:35 CST
2,4,1M,duet_same,duet_same(8388608),1,11.489GB/s,606.39,271,2025年 08月 09日 星期六 16:47:17 CST
2,4,1M,duet_same,duet_same(4194304),1,10.952GB/s,297.90,271,2025年 08月 09日 星期六 16:47:59 CST
2,4,1M,duet_same,duet_same(2097152),1,9.906GB/s,187.32,272,2025年 08月 09日 星期六 16:48:41 CST
2,4,1M,duet_same,duet_same(1048576),1,7.886GB/s,140.24,273,2025年 08月 09日 星期六 16:49:23 CST
2,4,1M,duet_dual,duet_dual(4194304/3145728),1,10.952GB/s,235.32,271,2025年 08月 09日 星期六 16:50:05 CST
2,4,1M,duet_dual,duet_dual(4194304/2097152),1,10.952GB/s,188.58,271,2025年 08月 09日 星期六 16:50:47 CST
2,4,1M,duet_dual,duet_dual(4194304/1048576),1,10.952GB/s,148.77,273,2025年 08月 09日 星期六 16:51:29 CST
2,4,1M,none,none,2,11.274GB/s,1367.92,266,2025年 08月 09日 星期六 16:52:16 CST
2,4,1M,bfq,bfq,2,11.166GB/s,1270.46,266,2025年 08月 09日 星期六 16:52:58 CST
2,4,1M,duet_same,duet_same(16777216),2,11.059GB/s,1278.79,266,2025年 08月 09日 星期六 16:53:39 CST
2,4,1M,duet_same,duet_same(8388608),2,11.489GB/s,607.61,271,2025年 08月 09日 星期六 16:54:21 CST
2,4,1M,duet_same,duet_same(4194304),2,10.952GB/s,304.91,271,2025年 08月 09日 星期六 16:55:03 CST
2,4,1M,duet_same,duet_same(2097152),2,9.738GB/s,188.08,272,2025年 08月 09日 星期六 16:55:45 CST
2,4,1M,duet_same,duet_same(1048576),2,7.999GB/s,139.19,273,2025年 08月 09日 星期六 16:56:27 CST
2,4,1M,duet_dual,duet_dual(4194304/3145728),2,10.952GB/s,237.14,271,2025年 08月 09日 星期六 16:57:09 CST
2,4,1M,duet_dual,duet_dual(4194304/2097152),2,10.952GB/s,180.25,271,2025年 08月 09日 星期六 16:57:51 CST
2,4,1M,duet_dual,duet_dual(4194304/1048576),2,10.952GB/s,149.15,273,2025年 08月 09日 星期六 16:58:33 CST
2,4,1M,none,none,3,11.166GB/s,1357.63,266,2025年 08月 09日 星期六 16:59:20 CST
2,4,1M,bfq,bfq,3,11.274GB/s,1250.00,266,2025年 08月 09日 星期六 17:00:02 CST
2,4,1M,duet_same,duet_same(16777216),3,10.952GB/s,1295.84,266,2025年 08月 09日 星期六 17:00:44 CST
2,4,1M,duet_same,duet_same(8388608),3,11.381GB/s,628.90,271,2025年 08月 09日 星期六 17:01:26 CST
2,4,1M,duet_same,duet_same(4194304),3,10.952GB/s,299.86,271,2025年 08月 09日 星期六 17:02:08 CST
2,4,1M,duet_same,duet_same(2097152),3,9.899GB/s,188.30,271,2025年 08月 09日 星期六 17:02:49 CST
2,4,1M,duet_same,duet_same(1048576),3,7.978GB/s,143.22,273,2025年 08月 09日 星期六 17:03:32 CST
2,4,1M,duet_dual,duet_dual(4194304/3145728),3,11.059GB/s,240.16,271,2025年 08月 09日 星期六 17:04:13 CST
2,4,1M,duet_dual,duet_dual(4194304/2097152),3,10.952GB/s,180.68,271,2025年 08月 09日 星期六 17:04:55 CST
2,4,1M,duet_dual,duet_dual(4194304/1048576),3,10.952GB/s,147.33,273,2025年 08月 09日 星期六 17:05:37 CST
3,4,4M,none,none,1,10.952GB/s,4794.63,266,2025年 08月 09日 星期六 17:06:29 CST
3,4,4M,bfq,bfq,1,10.737GB/s,2583.75,266,2025年 08月 09日 星期六 17:07:11 CST
3,4,4M,duet_same,duet_same(16777216),1,11.274GB/s,1249.44,267,2025年 08月 09日 星期六 17:07:53 CST
3,4,4M,duet_same,duet_same(8388608),1,11.381GB/s,578.91,271,2025年 08月 09日 星期六 17:08:35 CST
3,4,4M,duet_same,duet_same(4194304),1,10.565GB/s,309.44,271,2025年 08月 09日 星期六 17:09:17 CST
3,4,4M,duet_same,duet_same(2097152),1,9.148GB/s,185.56,271,2025年 08月 09日 星期六 17:09:59 CST
3,4,4M,duet_same,duet_same(1048576),1,8.438GB/s,147.87,272,2025年 08月 09日 星期六 17:10:41 CST
3,4,4M,duet_dual,duet_dual(4194304/3145728),1,10.715GB/s,231.61,271,2025年 08月 09日 星期六 17:11:22 CST
3,4,4M,duet_dual,duet_dual(4194304/2097152),1,10.694GB/s,182.64,272,2025年 08月 09日 星期六 17:12:04 CST
3,4,4M,duet_dual,duet_dual(4194304/1048576),1,10.694GB/s,163.02,272,2025年 08月 09日 星期六 17:12:46 CST
3,4,4M,none,none,2,10.952GB/s,4732.69,266,2025年 08月 09日 星期六 17:13:33 CST
3,4,4M,bfq,bfq,2,10.737GB/s,2550.91,266,2025年 08月 09日 星期六 17:14:15 CST
3,4,4M,duet_same,duet_same(16777216),2,11.274GB/s,1282.66,267,2025年 08月 09日 星期六 17:14:57 CST
3,4,4M,duet_same,duet_same(8388608),2,11.381GB/s,591.41,271,2025年 08月 09日 星期六 17:15:39 CST
3,4,4M,duet_same,duet_same(4194304),2,10.460GB/s,305.00,271,2025年 08月 09日 星期六 17:16:21 CST
3,4,4M,duet_same,duet_same(2097152),2,9.130GB/s,184.94,272,2025年 08月 09日 星期六 17:17:03 CST
3,4,4M,duet_same,duet_same(1048576),2,8.361GB/s,150.03,272,2025年 08月 09日 星期六 17:17:45 CST
3,4,4M,duet_dual,duet_dual(4194304/3145728),2,10.662GB/s,226.00,271,2025年 08月 09日 星期六 17:18:26 CST
3,4,4M,duet_dual,duet_dual(4194304/2097152),2,10.737GB/s,193.02,271,2025年 08月 09日 星期六 17:19:08 CST
3,4,4M,duet_dual,duet_dual(4194304/1048576),2,10.672GB/s,160.59,272,2025年 08月 09日 星期六 17:19:50 CST
3,4,4M,none,none,3,10.952GB/s,4948.38,266,2025年 08月 09日 星期六 17:20:37 CST
3,4,4M,bfq,bfq,3,10.737GB/s,2589.38,266,2025年 08月 09日 星期六 17:21:19 CST
3,4,4M,duet_same,duet_same(16777216),3,11.274GB/s,1267.76,267,2025年 08月 09日 星期六 17:22:01 CST
3,4,4M,duet_same,duet_same(8388608),3,11.381GB/s,586.86,271,2025年 08月 09日 星期六 17:22:43 CST
3,4,4M,duet_same,duet_same(4194304),3,10.522GB/s,294.94,271,2025年 08月 09日 星期六 17:23:25 CST
3,4,4M,duet_same,duet_same(2097152),3,9.166GB/s,184.81,271,2025年 08月 09日 星期六 17:24:07 CST
3,4,4M,duet_same,duet_same(1048576),3,8.415GB/s,149.20,272,2025年 08月 09日 星期六 17:24:49 CST
3,4,4M,duet_dual,duet_dual(4194304/3145728),3,10.715GB/s,238.65,271,2025年 08月 09日 星期六 17:25:31 CST
3,4,4M,duet_dual,duet_dual(4194304/2097152),3,10.683GB/s,194.15,271,2025年 08月 09日 星期六 17:26:13 CST
3,4,4M,duet_dual,duet_dual(4194304/1048576),3,10.587GB/s,164.77,272,2025年 08月 09日 星期六 17:26:54 CST
1,8,4K,none,none,1,2.109GB/s,143.68,274,2025年 08月 08日 星期五 20:14:44 CST
1,8,4K,bfq,bfq,1,1.734GB/s,132.73,274,2025年 08月 08日 星期五 20:15:27 CST
1,8,4K,duet_same,duet_same(16777216),1,1.738GB/s,137.65,274,2025年 08月 08日 星期五 20:16:09 CST
1,8,4K,duet_same,duet_same(8388608),1,1.741GB/s,133.13,274,2025年 08月 08日 星期五 20:16:51 CST
1,8,4K,duet_same,duet_same(4194304),1,1.744GB/s,142.32,274,2025年 08月 08日 星期五 20:17:34 CST
1,8,4K,duet_same,duet_same(2097152),1,1.723GB/s,138.82,274,2025年 08月 08日 星期五 20:18:16 CST
1,8,4K,duet_same,duet_same(1048576),1,1.734GB/s,138.82,274,2025年 08月 08日 星期五 20:18:59 CST
1,8,4K,duet_dual,duet_dual(4194304/3145728),1,1.736GB/s,141.71,274,2025年 08月 08日 星期五 20:19:41 CST
1,8,4K,duet_dual,duet_dual(4194304/2097152),1,1.737GB/s,151.99,274,2025年 08月 08日 星期五 20:20:24 CST
1,8,4K,duet_dual,duet_dual(4194304/1048576),1,1.738GB/s,131.93,274,2025年 08月 08日 星期五 20:21:06 CST
1,8,4K,none,none,2,2.110GB/s,140.46,274,2025年 08月 08日 星期五 20:21:54 CST
1,8,4K,bfq,bfq,2,1.740GB/s,142.68,274,2025年 08月 08日 星期五 20:22:36 CST
1,8,4K,duet_same,duet_same(16777216),2,1.737GB/s,142.47,274,2025年 08月 08日 星期五 20:23:18 CST
1,8,4K,duet_same,duet_same(8388608),2,1.741GB/s,139.30,274,2025年 08月 08日 星期五 20:24:00 CST
1,8,4K,duet_same,duet_same(4194304),2,1.741GB/s,137.90,274,2025年 08月 08日 星期五 20:24:43 CST
1,8,4K,duet_same,duet_same(2097152),2,1.744GB/s,141.03,274,2025年 08月 08日 星期五 20:25:25 CST
1,8,4K,duet_same,duet_same(1048576),2,1.734GB/s,145.24,274,2025年 08月 08日 星期五 20:26:07 CST
1,8,4K,duet_dual,duet_dual(4194304/3145728),2,1.741GB/s,151.09,274,2025年 08月 08日 星期五 20:26:50 CST
1,8,4K,duet_dual,duet_dual(4194304/2097152),2,1.739GB/s,144.62,274,2025年 08月 08日 星期五 20:27:32 CST
1,8,4K,duet_dual,duet_dual(4194304/1048576),2,1.741GB/s,135.40,274,2025年 08月 08日 星期五 20:28:14 CST
1,8,4K,none,none,3,2.117GB/s,147.35,274,2025年 08月 08日 星期五 20:29:02 CST
1,8,4K,bfq,bfq,3,1.742GB/s,139.45,274,2025年 08月 08日 星期五 20:29:44 CST
1,8,4K,duet_same,duet_same(16777216),3,1.741GB/s,138.07,274,2025年 08月 08日 星期五 20:30:26 CST
1,8,4K,duet_same,duet_same(8388608),3,1.740GB/s,142.16,274,2025年 08月 08日 星期五 20:31:09 CST
1,8,4K,duet_same,duet_same(4194304),3,1.739GB/s,137.71,274,2025年 08月 08日 星期五 20:31:51 CST
1,8,4K,duet_same,duet_same(2097152),3,1.740GB/s,145.99,274,2025年 08月 08日 星期五 20:32:33 CST
1,8,4K,duet_same,duet_same(1048576),3,1.744GB/s,139.89,274,2025年 08月 08日 星期五 20:33:16 CST
1,8,4K,duet_dual,duet_dual(4194304/3145728),3,1.739GB/s,151.30,274,2025年 08月 08日 星期五 20:33:58 CST
1,8,4K,duet_dual,duet_dual(4194304/2097152),3,1.737GB/s,135.16,274,2025年 08月 08日 星期五 20:34:40 CST
1,8,4K,duet_dual,duet_dual(4194304/1048576),3,1.741GB/s,141.31,274,2025年 08月 08日 星期五 20:35:23 CST
2,8,16K,none,none,1,4.689GB/s,100.32,275,2025年 08月 08日 星期五 20:36:16 CST
2,8,16K,bfq,bfq,1,4.046GB/s,142.25,273,2025年 08月 08日 星期五 20:36:57 CST
2,8,16K,duet_same,duet_same(16777216),1,4.038GB/s,147.81,273,2025年 08月 08日 星期五 20:37:40 CST
2,8,16K,duet_same,duet_same(8388608),1,4.050GB/s,137.87,273,2025年 08月 08日 星期五 20:38:22 CST
2,8,16K,duet_same,duet_same(4194304),1,4.027GB/s,136.81,274,2025年 08月 08日 星期五 20:39:04 CST
2,8,16K,duet_same,duet_same(2097152),1,4.050GB/s,142.31,273,2025年 08月 08日 星期五 20:39:46 CST
2,8,16K,duet_same,duet_same(1048576),1,4.045GB/s,138.73,273,2025年 08月 08日 星期五 20:40:28 CST
2,8,16K,duet_dual,duet_dual(4194304/3145728),1,4.028GB/s,139.76,273,2025年 08月 08日 星期五 20:41:10 CST
2,8,16K,duet_dual,duet_dual(4194304/2097152),1,4.062GB/s,138.72,273,2025年 08月 08日 星期五 20:41:52 CST
2,8,16K,duet_dual,duet_dual(4194304/1048576),1,4.066GB/s,137.72,273,2025年 08月 08日 星期五 20:42:34 CST
2,8,16K,none,none,2,4.470GB/s,134.98,273,2025年 08月 08日 星期五 20:43:22 CST
2,8,16K,bfq,bfq,2,4.032GB/s,140.71,273,2025年 08月 08日 星期五 20:44:03 CST
2,8,16K,duet_same,duet_same(16777216),2,4.074GB/s,142.36,273,2025年 08月 08日 星期五 20:44:46 CST
2,8,16K,duet_same,duet_same(8388608),2,4.047GB/s,138.72,273,2025年 08月 08日 星期五 20:45:28 CST
2,8,16K,duet_same,duet_same(4194304),2,4.050GB/s,144.99,273,2025年 08月 08日 星期五 20:46:10 CST
2,8,16K,duet_same,duet_same(2097152),2,4.065GB/s,138.02,273,2025年 08月 08日 星期五 20:46:52 CST
2,8,16K,duet_same,duet_same(1048576),2,4.086GB/s,136.15,274,2025年 08月 08日 星期五 20:47:34 CST
2,8,16K,duet_dual,duet_dual(4194304/3145728),2,4.076GB/s,145.42,273,2025年 08月 08日 星期五 20:48:16 CST
2,8,16K,duet_dual,duet_dual(4194304/2097152),2,4.048GB/s,140.61,273,2025年 08月 08日 星期五 20:48:58 CST
2,8,16K,duet_dual,duet_dual(4194304/1048576),2,4.044GB/s,142.56,273,2025年 08月 08日 星期五 20:49:40 CST
2,8,16K,none,none,3,5.064GB/s,113.87,274,2025年 08月 08日 星期五 20:50:28 CST
2,8,16K,bfq,bfq,3,4.050GB/s,142.64,273,2025年 08月 08日 星期五 20:51:09 CST
2,8,16K,duet_same,duet_same(16777216),3,4.039GB/s,139.74,273,2025年 08月 08日 星期五 20:51:52 CST
2,8,16K,duet_same,duet_same(8388608),3,4.046GB/s,138.82,273,2025年 08月 08日 星期五 20:52:34 CST
2,8,16K,duet_same,duet_same(4194304),3,4.048GB/s,140.86,273,2025年 08月 08日 星期五 20:53:16 CST
2,8,16K,duet_same,duet_same(2097152),3,4.062GB/s,135.11,274,2025年 08月 08日 星期五 20:53:58 CST
2,8,16K,duet_same,duet_same(1048576),3,4.087GB/s,135.76,274,2025年 08月 08日 星期五 20:54:40 CST
2,8,16K,duet_dual,duet_dual(4194304/3145728),3,4.062GB/s,147.87,273,2025年 08月 08日 星期五 20:55:22 CST
2,8,16K,duet_dual,duet_dual(4194304/2097152),3,4.068GB/s,136.21,273,2025年 08月 08日 星期五 20:56:04 CST
2,8,16K,duet_dual,duet_dual(4194304/1048576),3,4.064GB/s,138.53,273,2025年 08月 08日 星期五 20:56:46 CST
3,8,64K,none,none,1,14.066GB/s,142.29,273,2025年 08月 08日 星期五 20:57:39 CST
3,8,64K,bfq,bfq,1,12.562GB/s,141.72,273,2025年 08月 08日 星期五 20:58:20 CST
3,8,64K,duet_same,duet_same(16777216),1,12.670GB/s,143.22,273,2025年 08月 08日 星期五 20:59:03 CST
3,8,64K,duet_same,duet_same(8388608),1,12.670GB/s,140.92,273,2025年 08月 08日 星期五 20:59:45 CST
3,8,64K,duet_same,duet_same(4194304),1,12.670GB/s,141.13,273,2025年 08月 08日 星期五 21:00:27 CST
3,8,64K,duet_same,duet_same(2097152),1,12.670GB/s,139.34,273,2025年 08月 08日 星期五 21:01:09 CST
3,8,64K,duet_same,duet_same(1048576),1,8.507GB/s,109.81,274,2025年 08月 08日 星期五 21:01:51 CST
3,8,64K,duet_dual,duet_dual(4194304/3145728),1,12.240GB/s,141.23,273,2025年 08月 08日 星期五 21:02:33 CST
3,8,64K,duet_dual,duet_dual(4194304/2097152),1,12.348GB/s,146.06,272,2025年 08月 08日 星期五 21:03:15 CST
3,8,64K,duet_dual,duet_dual(4194304/1048576),1,11.596GB/s,122.98,274,2025年 08月 08日 星期五 21:03:57 CST
3,8,64K,none,none,2,14.173GB/s,143.51,273,2025年 08月 08日 星期五 21:04:44 CST
3,8,64K,bfq,bfq,2,12.670GB/s,140.22,273,2025年 08月 08日 星期五 21:05:26 CST
3,8,64K,duet_same,duet_same(16777216),2,12.670GB/s,140.67,273,2025年 08月 08日 星期五 21:06:08 CST
3,8,64K,duet_same,duet_same(8388608),2,12.670GB/s,140.92,273,2025年 08月 08日 星期五 21:06:50 CST
3,8,64K,duet_same,duet_same(4194304),2,12.777GB/s,139.07,273,2025年 08月 08日 星期五 21:07:32 CST
3,8,64K,duet_same,duet_same(2097152),2,12.562GB/s,142.16,273,2025年 08月 08日 星期五 21:08:14 CST
3,8,64K,duet_same,duet_same(1048576),2,8.559GB/s,113.23,274,2025年 08月 08日 星期五 21:08:56 CST
3,8,64K,duet_dual,duet_dual(4194304/3145728),2,12.240GB/s,145.31,272,2025年 08月 08日 星期五 21:09:38 CST
3,8,64K,duet_dual,duet_dual(4194304/2097152),2,12.240GB/s,146.42,272,2025年 08月 08日 星期五 21:10:20 CST
3,8,64K,duet_dual,duet_dual(4194304/1048576),2,11.703GB/s,122.00,274,2025年 08月 08日 星期五 21:11:02 CST
3,8,64K,none,none,3,14.173GB/s,141.72,272,2025年 08月 08日 星期五 21:11:49 CST
3,8,64K,bfq,bfq,3,12.670GB/s,140.41,273,2025年 08月 08日 星期五 21:12:31 CST
3,8,64K,duet_same,duet_same(16777216),3,12.670GB/s,143.34,272,2025年 08月 08日 星期五 21:13:13 CST
3,8,64K,duet_same,duet_same(8388608),3,12.670GB/s,142.26,273,2025年 08月 08日 星期五 21:13:55 CST
3,8,64K,duet_same,duet_same(4194304),3,12.670GB/s,141.18,273,2025年 08月 08日 星期五 21:14:37 CST
3,8,64K,duet_same,duet_same(2097152),3,12.670GB/s,143.66,272,2025年 08月 08日 星期五 21:15:19 CST
3,8,64K,duet_same,duet_same(1048576),3,8.540GB/s,108.98,274,2025年 08月 08日 星期五 21:16:02 CST
3,8,64K,duet_dual,duet_dual(4194304/3145728),3,12.348GB/s,144.58,272,2025年 08月 08日 星期五 21:16:43 CST
3,8,64K,duet_dual,duet_dual(4194304/2097152),3,12.240GB/s,144.24,272,2025年 08月 08日 星期五 21:17:26 CST
3,8,64K,duet_dual,duet_dual(4194304/1048576),3,11.489GB/s,120.39,274,2025年 08月 08日 星期五 21:18:08 CST
4,8,256K,none,none,1,13.958GB/s,582.09,271,2025年 08月 08日 星期五 21:19:00 CST
4,8,256K,bfq,bfq,1,11.811GB/s,600.39,271,2025年 08月 08日 星期五 21:19:42 CST
4,8,256K,duet_same,duet_same(16777216),1,11.811GB/s,603.20,271,2025年 08月 08日 星期五 21:20:24 CST
4,8,256K,duet_same,duet_same(8388608),1,11.811GB/s,595.32,271,2025年 08月 08日 星期五 21:21:06 CST
4,8,256K,duet_same,duet_same(4194304),1,12.670GB/s,281.46,271,2025年 08月 08日 星期五 21:21:47 CST
4,8,256K,duet_same,duet_same(2097152),1,10.844GB/s,154.14,272,2025年 08月 08日 星期五 21:22:29 CST
4,8,256K,duet_same,duet_same(1048576),1,6.448GB/s,133.57,273,2025年 08月 08日 星期五 21:23:11 CST
