测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-2,总带宽(KB/s),8235268,总带宽(MB/s),8042,平均单流带宽(KB/s),1029408,平均单流带宽(MB/s),1005
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-3,总带宽(KB/s),8264188,总带宽(MB/s),8070,平均单流带宽(KB/s),1033023,平均单流带宽(MB/s),1008
bgonly_rw-read_bs-16k_iodepth-1_count-1_iter-1,总带宽(KB/s),1319022,总带宽(MB/s),1288,平均单流带宽(KB/s),1319022,平均单流带宽(MB/s),1288
bgonly_rw-read_bs-16k_iodepth-1_count-1_iter-2,总带宽(KB/s),1317466,总带宽(MB/s),1286,平均单流带宽(KB/s),1317466,平均单流带宽(MB/s),1286
bgonly_rw-read_bs-16k_iodepth-1_count-1_iter-3,总带宽(KB/s),1317378,总带宽(MB/s),1286,平均单流带宽(KB/s),1317378,平均单流带宽(MB/s),1286
bgonly_rw-read_bs-16k_iodepth-1_count-8_iter-1,总带宽(KB/s),2055474,总带宽(MB/s),2007,平均单流带宽(KB/s),256934,平均单流带宽(MB/s),250
bgonly_rw-read_bs-16k_iodepth-1_count-8_iter-2,总带宽(KB/s),2074833,总带宽(MB/s),2026,平均单流带宽(KB/s),259354,平均单流带宽(MB/s),253
bgonly_rw-read_bs-16k_iodepth-1_count-8_iter-3,总带宽(KB/s),2073928,总带宽(MB/s),2025,平均单流带宽(KB/s),259241,平均单流带宽(MB/s),253
bgonly_rw-read_bs-16k_iodepth-4_count-1_iter-1,总带宽(KB/s),4944257,总带宽(MB/s),4828,平均单流带宽(KB/s),4944257,平均单流带宽(MB/s),4828
bgonly_rw-read_bs-16k_iodepth-4_count-1_iter-2,总带宽(KB/s),4948382,总带宽(MB/s),4832,平均单流带宽(KB/s),4948382,平均单流带宽(MB/s),4832
bgonly_rw-read_bs-16k_iodepth-4_count-1_iter-3,总带宽(KB/s),4959435,总带宽(MB/s),4843,平均单流带宽(KB/s),4959435,平均单流带宽(MB/s),4843
bgonly_rw-read_bs-16k_iodepth-4_count-8_iter-1,总带宽(KB/s),4520666,总带宽(MB/s),4414,平均单流带宽(KB/s),565083,平均单流带宽(MB/s),551
bgonly_rw-read_bs-16k_iodepth-4_count-8_iter-2,总带宽(KB/s),4518495,总带宽(MB/s),4412,平均单流带宽(KB/s),564811,平均单流带宽(MB/s),551
bgonly_rw-read_bs-16k_iodepth-4_count-8_iter-3,总带宽(KB/s),5260794,总带宽(MB/s),5137,平均单流带宽(KB/s),657599,平均单流带宽(MB/s),642
bgonly_rw-read_bs-16k_iodepth-16_count-1_iter-1,总带宽(KB/s),8569252,总带宽(MB/s),8368,平均单流带宽(KB/s),8569252,平均单流带宽(MB/s),8368
bgonly_rw-read_bs-16k_iodepth-16_count-1_iter-2,总带宽(KB/s),8584813,总带宽(MB/s),8383,平均单流带宽(KB/s),8584813,平均单流带宽(MB/s),8383
bgonly_rw-read_bs-16k_iodepth-16_count-1_iter-3,总带宽(KB/s),8577948,总带宽(MB/s),8376,平均单流带宽(KB/s),8577948,平均单流带宽(MB/s),8376
bgonly_rw-read_bs-16k_iodepth-16_count-8_iter-1,总带宽(KB/s),10916671,总带宽(MB/s),10660,平均单流带宽(KB/s),1364583,平均单流带宽(MB/s),1332
bgonly_rw-read_bs-16k_iodepth-16_count-8_iter-2,总带宽(KB/s),10916686,总带宽(MB/s),10660,平均单流带宽(KB/s),1364585,平均单流带宽(MB/s),1332
bgonly_rw-read_bs-16k_iodepth-16_count-8_iter-3,总带宽(KB/s),10909954,总带宽(MB/s),10654,平均单流带宽(KB/s),1363744,平均单流带宽(MB/s),1331
bgonly_rw-read_bs-16k_iodepth-64_count-1_iter-1,总带宽(KB/s),8681735,总带宽(MB/s),8478,平均单流带宽(KB/s),8681735,平均单流带宽(MB/s),8478
