测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
bgonly_rw-read_bs-1M_iodepth-1_count-8_iter-3,总带宽(KB/s),14699832,总带宽(MB/s),14355,平均单流带宽(KB/s),1837479,平均单流带宽(MB/s),1794
bgonly_rw-read_bs-1M_iodepth-4_count-1_iter-1,总带宽(KB/s),13364083,总带宽(MB/s),13050,平均单流带宽(KB/s),13364083,平均单流带宽(MB/s),13050
bgonly_rw-read_bs-1M_iodepth-4_count-1_iter-2,总带宽(KB/s),14469793,总带宽(MB/s),14130,平均单流带宽(KB/s),14469793,平均单流带宽(MB/s),14130
bgonly_rw-read_bs-1M_iodepth-4_count-1_iter-3,总带宽(KB/s),14456277,总带宽(MB/s),14117,平均单流带宽(KB/s),14456277,平均单流带宽(MB/s),14117
bgonly_rw-read_bs-1M_iodepth-4_count-8_iter-1,总带宽(KB/s),12614046,总带宽(MB/s),12318,平均单流带宽(KB/s),1576755,平均单流带宽(MB/s),1539
bgonly_rw-read_bs-1M_iodepth-4_count-8_iter-2,总带宽(KB/s),12871813,总带宽(MB/s),12570,平均单流带宽(KB/s),1608976,平均单流带宽(MB/s),1571
bgonly_rw-read_bs-1M_iodepth-4_count-8_iter-3,总带宽(KB/s),12873440,总带宽(MB/s),12571,平均单流带宽(KB/s),1609180,平均单流带宽(MB/s),1571
bgonly_rw-read_bs-1M_iodepth-16_count-1_iter-1,总带宽(KB/s),14641452,总带宽(MB/s),14298,平均单流带宽(KB/s),14641452,平均单流带宽(MB/s),14298
bgonly_rw-read_bs-1M_iodepth-16_count-1_iter-2,总带宽(KB/s),14642408,总带宽(MB/s),14299,平均单流带宽(KB/s),14642408,平均单流带宽(MB/s),14299
bgonly_rw-read_bs-1M_iodepth-16_count-1_iter-3,总带宽(KB/s),14642408,总带宽(MB/s),14299,平均单流带宽(KB/s),14642408,平均单流带宽(MB/s),14299
bgonly_rw-read_bs-1M_iodepth-16_count-8_iter-1,总带宽(KB/s),11150286,总带宽(MB/s),10888,平均单流带宽(KB/s),1393785,平均单流带宽(MB/s),1361
bgonly_rw-read_bs-1M_iodepth-16_count-8_iter-2,总带宽(KB/s),11162762,总带宽(MB/s),10901,平均单流带宽(KB/s),1395345,平均单流带宽(MB/s),1362
bgonly_rw-read_bs-1M_iodepth-16_count-8_iter-3,总带宽(KB/s),11156314,总带宽(MB/s),10894,平均单流带宽(KB/s),1394539,平均单流带宽(MB/s),1361
bgonly_rw-read_bs-1M_iodepth-64_count-1_iter-1,总带宽(KB/s),14626582,总带宽(MB/s),14283,平均单流带宽(KB/s),14626582,平均单流带宽(MB/s),14283
bgonly_rw-read_bs-1M_iodepth-64_count-1_iter-2,总带宽(KB/s),14634908,总带宽(MB/s),14291,平均单流带宽(KB/s),14634908,平均单流带宽(MB/s),14291
bgonly_rw-read_bs-1M_iodepth-64_count-1_iter-3,总带宽(KB/s),14628971,总带宽(MB/s),14286,平均单流带宽(KB/s),14628971,平均单流带宽(MB/s),14286
bgonly_rw-read_bs-1M_iodepth-64_count-8_iter-1,总带宽(KB/s),11271876,总带宽(MB/s),11007,平均单流带宽(KB/s),1408984,平均单流带宽(MB/s),1375
bgonly_rw-read_bs-1M_iodepth-64_count-8_iter-2,总带宽(KB/s),11295037,总带宽(MB/s),11030,平均单流带宽(KB/s),1411879,平均单流带宽(MB/s),1378
bgonly_rw-read_bs-1M_iodepth-64_count-8_iter-3,总带宽(KB/s),11295190,总带宽(MB/s),11030,平均单流带宽(KB/s),1411898,平均单流带宽(MB/s),1378
bgonly_rw-read_bs-1M_iodepth-256_count-1_iter-1,总带宽(KB/s),14618249,总带宽(MB/s),14275,平均单流带宽(KB/s),14618249,平均单流带宽(MB/s),14275
bgonly_rw-read_bs-1M_iodepth-256_count-1_iter-2,总带宽(KB/s),14621934,总带宽(MB/s),14279,平均单流带宽(KB/s),14621934,平均单流带宽(MB/s),14279
bgonly_rw-read_bs-1M_iodepth-256_count-1_iter-3,总带宽(KB/s),14620023,总带宽(MB/s),14277,平均单流带宽(KB/s),14620023,平均单流带宽(MB/s),14277
bgonly_rw-read_bs-1M_iodepth-256_count-8_iter-1,总带宽(KB/s),11390818,总带宽(MB/s),11123,平均单流带宽(KB/s),1423852,平均单流带宽(MB/s),1390
bgonly_rw-read_bs-1M_iodepth-256_count-8_iter-2,总带宽(KB/s),11396951,总带宽(MB/s),11129,平均单流带宽(KB/s),1424618,平均单流带宽(MB/s),1391
bgonly_rw-read_bs-1M_iodepth-256_count-8_iter-3,总带宽(KB/s),11376756,总带宽(MB/s),11110,平均单流带宽(KB/s),1422094,平均单流带宽(MB/s),1388
bgonly_rw-read_bs-1M_iodepth-1024_count-1_iter-1,总带宽(KB/s),14679129,总带宽(MB/s),14335,平均单流带宽(KB/s),14679129,平均单流带宽(MB/s),14335
bgonly_rw-read_bs-1M_iodepth-1024_count-1_iter-2,总带宽(KB/s),14661232,总带宽(MB/s),14317,平均单流带宽(KB/s),14661232,平均单流带宽(MB/s),14317
bgonly_rw-read_bs-1M_iodepth-1024_count-1_iter-3,总带宽(KB/s),14657731,总带宽(MB/s),14314,平均单流带宽(KB/s),14657731,平均单流带宽(MB/s),14314
bgonly_rw-read_bs-1M_iodepth-1024_count-8_iter-1,总带宽(KB/s),11805548,总带宽(MB/s),11528,平均单流带宽(KB/s),1475693,平均单流带宽(MB/s),1441
bgonly_rw-read_bs-1M_iodepth-1024_count-8_iter-2,总带宽(KB/s),11809309,总带宽(MB/s),11532,平均单流带宽(KB/s),1476163,平均单流带宽(MB/s),1441
bgonly_rw-read_bs-1M_iodepth-1024_count-8_iter-3,总带宽(KB/s),11816926,总带宽(MB/s),11539,平均单流带宽(KB/s),1477115,平均单流带宽(MB/s),1442
bgonly_rw-read_bs-4M_iodepth-1_count-1_iter-1,总带宽(KB/s),12930756,总带宽(MB/s),12627,平均单流带宽(KB/s),12930756,平均单流带宽(MB/s),12627
bgonly_rw-read_bs-4M_iodepth-1_count-1_iter-2,总带宽(KB/s),12007306,总带宽(MB/s),11725,平均单流带宽(KB/s),12007306,平均单流带宽(MB/s),11725
bgonly_rw-read_bs-4M_iodepth-1_count-1_iter-3,总带宽(KB/s),12017955,总带宽(MB/s),11736,平均单流带宽(KB/s),12017955,平均单流带宽(MB/s),11736
bgonly_rw-read_bs-4M_iodepth-1_count-8_iter-1,总带宽(KB/s),12434274,总带宽(MB/s),12142,平均单流带宽(KB/s),1554284,平均单流带宽(MB/s),1517
bgonly_rw-read_bs-4M_iodepth-1_count-8_iter-2,总带宽(KB/s),12270182,总带宽(MB/s),11982,平均单流带宽(KB/s),1533772,平均单流带宽(MB/s),1497
bgonly_rw-read_bs-4M_iodepth-1_count-8_iter-3,总带宽(KB/s),12321239,总带宽(MB/s),12032,平均单流带宽(KB/s),1540154,平均单流带宽(MB/s),1504
bgonly_rw-read_bs-4M_iodepth-4_count-1_iter-1,总带宽(KB/s),14642223,总带宽(MB/s),14299,平均单流带宽(KB/s),14642223,平均单流带宽(MB/s),14299
bgonly_rw-read_bs-4M_iodepth-4_count-1_iter-2,总带宽(KB/s),14642339,总带宽(MB/s),14299,平均单流带宽(KB/s),14642339,平均单流带宽(MB/s),14299
bgonly_rw-read_bs-4M_iodepth-4_count-1_iter-3,总带宽(KB/s),14031844,总带宽(MB/s),13702,平均单流带宽(KB/s),14031844,平均单流带宽(MB/s),13702
bgonly_rw-read_bs-4M_iodepth-4_count-8_iter-1,总带宽(KB/s),11134292,总带宽(MB/s),10873,平均单流带宽(KB/s),1391786,平均单流带宽(MB/s),1359
bgonly_rw-read_bs-4M_iodepth-4_count-8_iter-2,总带宽(KB/s),11199982,总带宽(MB/s),10937,平均单流带宽(KB/s),1399997,平均单流带宽(MB/s),1367
bgonly_rw-read_bs-4M_iodepth-4_count-8_iter-3,总带宽(KB/s),11197270,总带宽(MB/s),10934,平均单流带宽(KB/s),1399658,平均单流带宽(MB/s),1366
bgonly_rw-read_bs-4M_iodepth-16_count-1_iter-1,总带宽(KB/s),14635044,总带宽(MB/s),14292,平均单流带宽(KB/s),14635044,平均单流带宽(MB/s),14292
bgonly_rw-read_bs-4M_iodepth-16_count-1_iter-2,总带宽(KB/s),14638866,总带宽(MB/s),14295,平均单流带宽(KB/s),14638866,平均单流带宽(MB/s),14295
bgonly_rw-read_bs-4M_iodepth-16_count-1_iter-3,总带宽(KB/s),14637774,总带宽(MB/s),14294,平均单流带宽(KB/s),14637774,平均单流带宽(MB/s),14294
bgonly_rw-read_bs-4M_iodepth-16_count-8_iter-1,总带宽(KB/s),11233727,总带宽(MB/s),10970,平均单流带宽(KB/s),1404215,平均单流带宽(MB/s),1371
bgonly_rw-read_bs-4M_iodepth-16_count-8_iter-2,总带宽(KB/s),11229972,总带宽(MB/s),10966,平均单流带宽(KB/s),1403746,平均单流带宽(MB/s),1370
bgonly_rw-read_bs-4M_iodepth-16_count-8_iter-3,总带宽(KB/s),11250188,总带宽(MB/s),10986,平均单流带宽(KB/s),1406273,平均单流带宽(MB/s),1373
bgonly_rw-read_bs-4M_iodepth-64_count-1_iter-1,总带宽(KB/s),14599606,总带宽(MB/s),14257,平均单流带宽(KB/s),14599606,平均单流带宽(MB/s),14257
bgonly_rw-read_bs-4M_iodepth-64_count-1_iter-2,总带宽(KB/s),14587872,总带宽(MB/s),14245,平均单流带宽(KB/s),14587872,平均单流带宽(MB/s),14245
bgonly_rw-read_bs-4M_iodepth-64_count-1_iter-3,总带宽(KB/s),14588571,总带宽(MB/s),14246,平均单流带宽(KB/s),14588571,平均单流带宽(MB/s),14246
bgonly_rw-read_bs-4M_iodepth-64_count-8_iter-1,总带宽(KB/s),11402110,总带宽(MB/s),11134,平均单流带宽(KB/s),1425263,平均单流带宽(MB/s),1391
bgonly_rw-read_bs-4M_iodepth-64_count-8_iter-2,总带宽(KB/s),11381990,总带宽(MB/s),11115,平均单流带宽(KB/s),1422748,平均单流带宽(MB/s),1389
bgonly_rw-read_bs-4M_iodepth-64_count-8_iter-3,总带宽(KB/s),11391665,总带宽(MB/s),11124,平均单流带宽(KB/s),1423958,平均单流带宽(MB/s),1390
bgonly_rw-read_bs-4M_iodepth-256_count-1_iter-1,总带宽(KB/s),14644243,总带宽(MB/s),14301,平均单流带宽(KB/s),14644243,平均单流带宽(MB/s),14301
bgonly_rw-read_bs-4M_iodepth-256_count-1_iter-2,总带宽(KB/s),14638902,总带宽(MB/s),14295,平均单流带宽(KB/s),14638902,平均单流带宽(MB/s),14295
bgonly_rw-read_bs-4M_iodepth-256_count-1_iter-3,总带宽(KB/s),14637886,总带宽(MB/s),14294,平均单流带宽(KB/s),14637886,平均单流带宽(MB/s),14294
bgonly_rw-read_bs-4M_iodepth-256_count-8_iter-1,总带宽(KB/s),11821924,总带宽(MB/s),11544,平均单流带宽(KB/s),1477740,平均单流带宽(MB/s),1443
bgonly_rw-read_bs-4M_iodepth-256_count-8_iter-2,总带宽(KB/s),11812335,总带宽(MB/s),11535,平均单流带宽(KB/s),1476541,平均单流带宽(MB/s),1441
bgonly_rw-read_bs-4M_iodepth-256_count-8_iter-3,总带宽(KB/s),11807245,总带宽(MB/s),11530,平均单流带宽(KB/s),1475905,平均单流带宽(MB/s),1441
bgonly_rw-read_bs-4M_iodepth-1024_count-1_iter-1,总带宽(KB/s),14828829,总带宽(MB/s),14481,平均单流带宽(KB/s),14828829,平均单流带宽(MB/s),14481
bgonly_rw-read_bs-4M_iodepth-1024_count-1_iter-2,总带宽(KB/s),14840563,总带宽(MB/s),14492,平均单流带宽(KB/s),14840563,平均单流带宽(MB/s),14492
bgonly_rw-read_bs-4M_iodepth-1024_count-1_iter-3,总带宽(KB/s),14839745,总带宽(MB/s),14491,平均单流带宽(KB/s),14839745,平均单流带宽(MB/s),14491
bgonly_rw-read_bs-4M_iodepth-1024_count-8_iter-1,总带宽(KB/s),13487922,总带宽(MB/s),13171,平均单流带宽(KB/s),1685990,平均单流带宽(MB/s),1646
bgonly_rw-read_bs-4M_iodepth-1024_count-8_iter-2,总带宽(KB/s),13475422,总带宽(MB/s),13159,平均单流带宽(KB/s),1684427,平均单流带宽(MB/s),1644
bgonly_rw-read_bs-4M_iodepth-1024_count-8_iter-3,总带宽(KB/s),13487410,总带宽(MB/s),13171,平均单流带宽(KB/s),1685926,平均单流带宽(MB/s),1646
