metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	20	+20.000000
work_us_mean	nan	3021.17875	+nan
work_us_median	nan	2953.3225	+nan
work_us_max	nan	7463.957	+nan
work_total_ms	nan	60.42357500000001	+nan
bench_sec	1.274	1.337	+0.063000
override_peak	35073	32714	-2359.000000
