run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	67646.030000	965782	70042.753	2.751000
2	71286.780000	852748	83596.537	2.757000
3	68415.150000	846290	80841.260	2.674000
4	72834.270000	1235747	58939.467	2.970000
5	86210.260000	1202084	71717.334	3.969000
6	69276.880000	1476131	46931.390	2.820000
7	68430.980000	855377	80000.959	2.772000
8	69142.040000	1417325	48783.476	2.924000
9	71165.340000	1124209	63302.589	2.858000
10	72496.460000	1187793	61034.591	2.801000
11	74805.290000	1150291	65031.622	3.152000
12	78546.350000	1257071	62483.623	4.772000
13	71901.580000	975486	73708.469	3.455000
14	81141.950000	1168532	69439.219	3.332000
15	70177.420000	980000	71609.612	2.745000
16	69553.530000	1045865	66503.354	2.604000
17	80964.760000	1132565	71487.959	3.270000
18	71979.980000	1445617	49791.874	3.029000
19	69937.290000	1112983	62837.698	2.673000
20	73468.740000	1047841	70114.397	3.397000
