run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	67923.450000	6717605	10111.260	2.255000
2	65476.440000	4960144	13200.512	2.149000
3	67631.280000	5297727	12766.094	2.274000
4	69164.770000	7456786	9275.413	2.342000
5	64895.410000	4589928	14138.655	2.133000
6	68026.450000	6604817	10299.521	2.303000
7	71069.610000	6572327	10813.462	2.438000
8	66078.620000	5384598	12271.783	2.214000
9	64180.830000	4475984	14338.932	2.117000
10	66900.210000	5512310	12136.511	2.221000
11	67120.580000	5440577	12337.033	2.176000
12	63085.160000	4423465	14261.481	2.111000
13	70469.580000	8243143	8548.873	2.442000
14	64065.090000	4314148	14849.998	2.162000
15	64617.420000	4501751	14353.841	2.106000
16	63167.700000	3799228	16626.457	2.065000
17	65486.720000	5427203	12066.385	2.241000
18	66831.710000	5049675	13234.854	2.290000
19	67788.190000	6799366	9969.781	2.271000
20	65197.100000	4912077	13272.817	2.156000
