phase	runs	task_clock_ms_mean	context_switches_mean	avg_cs_ns_mean	avg_cs_ns_median	avg_cs_ns_p95	avg_cs_ns_stddev	avg_cs_ns_ci95	bench_total_sec_mean
monitor_off	20	63478.895	1886787.5	34695.816	34898.022	43149.108	5784.676	2535.246	2.592450
monitor_on	20	63658.309	1769431.4	37134.407	36893.822	49912.021	6756.913	2961.348	2.578500
