phase	runs	task_clock_ms_mean	context_switches_mean	avg_cs_ns_mean	avg_cs_ns_median	avg_cs_ns_p95	avg_cs_ns_stddev	avg_cs_ns_ci95	bench_total_sec_mean
monitor_off	20	72969.054	1123986.9	66409.909	67971.287	80979.024	10129.229	4439.330	3.086250
monitor_on	20	70511.280	1053948.9	67831.572	70474.027	76644.312	8428.454	3693.933	2.896900
