metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	9	+9.000000
work_us_mean	nan	1902.5772222222222	+nan
work_us_median	nan	1807.352	+nan
work_us_max	nan	3449.353	+nan
work_total_ms	nan	17.123195	+nan
bench_sec	0.764	0.772	+0.008000
override_peak	16317	17539	+1222.000000
