metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	2	+2.000000
work_us_mean	nan	645.231	+nan
work_us_median	nan	645.231	+nan
work_us_max	nan	1288.402	+nan
work_total_ms	nan	1.290462	+nan
bench_sec	0.523	0.531	+0.008000
override_peak	8341	8556	+215.000000
