t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3381.706562	0	0	0
3381.906675	926	970981376	3956973374
3382.106675	2040	2139095040	8866349243
3382.306675	3013	3159359488	13028276435
3382.506675	3885	4073717760	17157634912
3382.706675	4963	5204082688	21369226339
3382.906675	7285	7638876160	25783876294
3383.106675	9792	10267656192	30109475945
3383.306675	12331	12929990656	34493390417
3383.506675	14696	15409872896	39040624563
3383.706675	16969	17793286144	43494886736
3383.906675	19564	20514340864	47919315570
3384.106675	22127	23201841152	52391920799
3384.306675	24680	25878855680	56677737791
3384.506675	27239	28562161664	60980781921
3384.706675	29864	31314673664	65438991319
3384.906675	32459	34035728384	69757516194
3385.106675	35030	36731617280	74094829855
3385.306675	37578	39403388928	78413696369
3385.506675	40182	42133880832	82811387064
3385.706675	42825	44905267200	87221972021
3385.906675	45421	47627370496	91516099542
3386.106675	48000	50331648000	95954014363
3386.306675	50636	53095694336	100281297358
3386.506675	53110	55689871360	104633877138
3386.706675	55684	58388905984	108812406895
3386.906675	58100	60922265600	113086779165
3387.106675	60255	63181946880	117360253266
3387.306675	62901	65956478976	121831492667
3387.506675	65452	68631396352	126113134532
3387.706675	68049	71354548224	130406907428
3387.906675	70604	74033659904	134828812894
3388.106675	73241	76798754816	139221557829
3388.306675	75841	79525052416	143494812392
3388.506675	78433	82242961408	147727894193
3388.706675	80742	84664123392	151910618100
3388.906675	83310	87356866560	156302645469
3389.106675	85852	90022346752	160572307141
3389.306675	88454	92750741504	164974054578
3389.506675	91065	95488573440	169425497003
3389.706675	93667	98216968192	173716799752
3389.906675	96278	100954800128	178100258710
3390.106675	98903	103707312128	182354479327
3390.306675	101504	106434658304	186648437059
3390.506675	104137	109195558912	191140160530
3390.706675	106746	111931293696	195595469047
3390.906675	109317	114627182592	199821425052
3391.106675	111900	117335654400	204235026495
3391.306675	114491	120052514816	208500003024
3391.506675	117072	122758889472	212878799621
3391.706675	119606	125415981056	217015172620
3391.906675	122165	128099287040	221396143278
3392.106675	124696	130753232896	225689737269
3392.306675	127320	133504696320	230147349741
3392.506675	129940	136251965440	234663401016
3392.706675	132541	138979311616	238922618597
3392.906675	135154	141719240704	243200871781
3393.106675	137731	144421421056	247447651676
3393.306675	140320	147136184320	251697269735
3393.506675	142948	149891842048	255951226671
3393.706675	145540	152609751040	260321729354
3393.906675	148129	155324514304	264497713914
3394.106675	150706	158026694656	268949411094
3394.306675	153365	160814858240	273220601970
3394.506675	155957	163532767232	277587505929
3394.706675	158553	166254870528	281900477706
3394.906675	161159	168987459584	286334537434
3395.106675	163792	171748360192	290818743965
3395.306675	166411	174494580736	295105465929
3395.506675	169045	177256529920	299517844803
3395.706675	171667	180005896192	303789904549
3395.906675	174288	182754213888	308069058014
3396.106675	176918	185511968768	312389658032
3396.306675	179545	188266577920	316755624901
3396.506675	182215	191066275840	321157627709
3396.706675	184854	193833467904	325339613223
3396.906675	187447	196552425472	329611699903
3397.106675	190010	199239925760	333865282251
3397.306675	192686	202045915136	338259051543
3397.506675	195322	204809961472	342491203625
3397.706675	197963	207579250688	346709596062
3397.906675	200552	210294013952	351019967842
3398.106675	203199	213069594624	355267094427
3398.306675	205855	215854612480	359604642555
3398.506675	208478	218605027328	363875571773
3398.706675	211153	221409968128	368105225927
3398.906675	213785	224169820160	372308398261
3399.106675	216402	226913943552	376647467606
3399.306675	218566	229183062016	380717842117
3399.506675	221083	231822327808	384961506230
3399.706675	223712	234579034112	389365533772
3399.906675	226357	237352517632	393587250198
3400.106675	228972	240094543872	397928239915
3400.306675	231552	242799869952	402195719530
3400.506675	234216	245593276416	406623454072
3400.706675	236866	248372002816	411170971420
3400.906675	239546	251182186496	415674460746
3401.106675	242195	253959864320	419987990689
3401.306675	244800	256691404800	424311909286
3401.506675	247391	259408265216	428527364340
3401.706675	249987	262130368512	432853091205
3401.906675	252384	264643805184	437116238554
3402.106675	254946	267330256896	441384475698
3402.306675	257536	270046068736	445592465101
3402.506675	260149	272785997824	449823120378
3402.706675	262750	275513344000	454031491287
3402.906675	265345	278234398720	458216471342
3403.106675	267956	280972230656	462531881709
3403.306675	270558	283700625408	466766441611
3403.506675	273152	286420631552	470948295414
3403.706675	275775	289171046400	475162537842
3403.906675	278280	291797729280	479349769417
3404.106675	280893	294537658368	483706477856
3404.306675	283517	297289121792	487899587012
3404.506675	286160	300060508160	492089387469
3404.706675	288771	302798340096	496413317191
3404.906675	291393	305547706368	500680064851
3405.106675	293969	308248838144	504961152237
3405.306675	296611	311019175936	509335652251
3405.506675	299232	313767493632	513575941729
3405.706675	301819	316480159744	517824036185
3405.906675	304458	319247351808	522282885376
3406.106675	306930	321839431680	526415564022
3406.306675	309521	324556292096	530762738863
3406.506675	312151	327314046976	535240427955
3406.706675	314739	330027761664	539677296787
3406.906675	317319	332733087744	544148652640
3407.106675	319929	335469871104	548433379369
3407.306675	322525	338191974400	552818211383
3407.506675	325147	340941340672	557224846410
3407.706675	327753	343673929728	561626141691
3407.906675	330349	346396033024	566063265028
3408.106675	332934	349106601984	570337755523
3408.306675	335608	351910494208	574818133256
3408.506675	338261	354692366336	579271724116
3408.706675	340870	357428101120	583576491629
3408.906675	343354	360032763904	587653711849
3409.106675	346014	362821976064	592074528363
3409.306675	348661	365597556736	596547558641
3409.506675	351319	368384671744	600994431921
3409.706675	353923	371115163648	605409185180
3409.906675	356475	373791129600	609712259485
3410.106675	359102	376545738752	614015802301
3410.306675	361717	379287764992	618244437755
3410.506675	364345	382043422720	622622386488
3410.706675	366930	384753991680	626910442662
3410.906675	369609	387563126784	631268872895
3411.106675	372191	390270550016	635331680033
3411.306675	374835	393042984960	639818163220
3411.506675	377491	395828002816	644135085288
3411.706675	380100	398563737600	648563424787
3411.906675	382586	401170497536	652666840839
3412.106675	385143	403851706368	656881210769
3412.306675	387713	406546546688	661306983387
3412.506675	390404	409368264704	665817656242
3412.706675	393040	412132311040	670079579644
3412.906675	395699	414920474624	674292250711
3413.106675	398317	417665646592	678744408680
3413.306675	400046	419478634496	681623181952
3413.306773	400046	419478634496	681623181952
