run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	48015.510000	1298990	36963.726	1.887000
2	51747.770000	1725128	29996.481	2.113000
3	52112.920000	1700908	30638.294	2.029000
4	49925.790000	1776465	28104.010	2.068000
5	46720.350000	1452119	32173.913	1.808000
6	48012.910000	1690285	28405.216	2.136000
7	47748.590000	1305183	36583.828	2.161000
8	51259.100000	2016515	25419.647	2.239000
9	50779.850000	2231354	22757.415	2.223000
10	50130.350000	1577612	31776.096	1.974000
11	48164.860000	1386324	34742.860	1.954000
12	48015.540000	1223198	39254.103	1.983000
13	46685.650000	1300769	35890.808	1.845000
14	51415.800000	1533370	33531.242	2.070000
15	50395.490000	1823077	27643.095	1.983000
16	51451.810000	1835212	28035.894	2.023000
17	50360.460000	1932667	26057.495	2.162000
18	47780.300000	1444219	33083.833	2.058000
19	49216.010000	1290465	38138.198	1.929000
20	47858.470000	1398616	34218.449	1.920000
