metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	38	+38.000000
work_us_mean	nan	5721.855710526316	+nan
work_us_median	nan	5664.0599999999995	+nan
work_us_max	nan	16372.96	+nan
work_total_ms	nan	217.43051699999998	+nan
bench_sec	2.920	2.523	-0.397000
override_peak	70981	70515	-466.000000
