run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	65295.850000	4680906	13949.404	2.122000
2	64283.660000	4119151	15606.046	2.100000
3	63984.880000	4737682	13505.524	2.077000
4	65322.760000	5690583	11479.098	2.181000
5	62815.300000	3630614	17301.564	2.032000
6	70868.540000	6433914	11014.841	2.354000
7	64375.230000	5004016	12864.713	2.199000
8	63901.260000	4779809	13368.999	2.061000
9	66222.900000	5646790	11727.530	2.185000
10	64820.590000	4794730	13519.132	2.172000
11	65688.410000	4840412	13570.830	2.204000
12	64816.780000	5949485	10894.519	2.227000
13	65030.020000	4526124	14367.706	2.177000
14	66351.110000	5584174	11881.992	2.310000
15	63437.910000	3879430	16352.379	2.047000
16	66215.030000	5212814	12702.358	2.203000
17	64232.380000	4365400	14713.974	2.082000
18	63557.690000	4230434	15023.917	2.142000
19	67859.810000	6153788	11027.323	2.235000
20	65051.470000	5928883	10971.960	2.162000
