run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	35126.640000	1288785	27255.624	1.425000
2	35285.220000	1404643	25120.418	1.380000
3	35291.590000	1312727	26884.181	1.342000
4	35032.080000	1349961	25950.439	1.385000
5	34631.050000	1385485	24995.615	1.463000
6	35182.350000	1409054	24968.773	1.380000
7	34646.880000	1261483	27465.198	1.433000
8	34867.180000	1795044	19424.137	1.489000
9	34770.130000	1431221	24294.033	1.447000
10	35334.420000	1314321	26884.163	1.411000
11	35786.580000	1770289	20215.106	1.579000
12	35445.440000	1353302	26191.818	1.397000
13	35256.640000	1422480	24785.333	1.452000
14	35275.300000	1160830	30387.998	1.369000
15	36345.440000	1727061	21044.676	1.452000
16	35474.760000	1392603	25473.706	1.336000
17	35850.470000	1521437	23563.559	1.463000
18	34714.670000	1460802	23764.117	1.492000
19	34410.520000	1346431	25556.839	1.306000
20	34630.610000	1203517	28774.508	1.449000
