metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	33	+33.000000
work_us_mean	nan	4512.662666666667	+nan
work_us_median	nan	4561.214	+nan
work_us_max	nan	8399.978	+nan
work_total_ms	nan	148.917868	+nan
bench_sec	1.996	1.829	-0.167000
override_peak	47959	48505	+546.000000
