metric	monitor_off	monitor_on	delta_on_minus_off
fn_calls	0	5	+5.000000
work_us_mean	nan	838.2646	+nan
work_us_median	nan	1126.441	+nan
work_us_max	nan	1325.551	+nan
work_total_ms	nan	4.191323000000001	+nan
bench_sec	0.465	0.515	+0.050000
override_peak	8167	8605	+438.000000
